title,author,image,desc,download_link,pages,publisher,year,language,file
Implementing An Information Security Management System: Security Management Based On ISO 27001 Guidelines,Abhishek Chopra,https://covers.zlibcdn2.com/covers100/books/ad/b5/04/adb5040db79ddb19a18c6b12095a26d0.jpg,"
                    Discover the simple steps to implementing information security standards using ISO 27001, the most popular information security standard across the world. You’ll see how it offers best practices to be followed, including the roles of all the stakeholders at the time of security framework implementation, post-implementation, and during monitoring of the implemented controls. Implementing an Information Security Management System provides implementation guidelines for ISO 27001:2013 to protect your information assets and ensure a safer enterprise environment. This book is a step-by-step guide on implementing secure ISMS for your organization. It will change the way you interpret and implement information security in your work area or organization.                ",Unknown,284,Apress,2020,english,"PDF, 6.77 MB"
IT Auditing Using Controls to Protect Information Assets,Mike Kegerreis,https://covers.zlibcdn2.com/covers100/books/73/b9/1f/73b91faf32b1c67a7f235e5b651caf17.jpg,"
Secure Your Systems Using the Latest IT Auditing TechniquesFully updated to cover leading-edge tools and technologies, IT Auditing: Using Controls to Protect Information Assets, Third Edition, explains, step by step, how to implement a successful, enterprise-wide IT audit program. New chapters on auditing cybersecurity programs, big data and data repositories, and new technologies are included. This comprehensive guide describes how to assemble an effective IT audit team and maximize the value of the IT audit function. In-depth details on performing specific audits are accompanied by real-world examples, ready-to-use checklists, and valuable templates. Standards, frameworks, regulations, and risk management techniques are also covered in this definitive resource.•   Build and maintain an internal IT audit function with maximum effectiveness and value•   Audit entity-level controls and cybersecurity programs•   Assess data centers and disaster recovery•   Examine switches, routers, and firewalls•   Evaluate Windows, UNIX, and Linux operating systems•   Audit Web servers and applications•   Analyze databases and storage solutions•   Review big data and data repositories•   Assess end user computer devices, including PCs and mobile devices•   Audit virtualized environments•   Evaluate risks associated with cloud computing and outsourced operations•   Drill down into applications and projects to find potential control weaknesses•   Learn best practices for auditing new technologies•   Use standards and frameworks, such as COBIT, ITIL, and ISO•   Understand regulations, including Sarbanes-Oxley, HIPAA, and PCI•   Implement proven risk management practices ",https://1lib.in/dl/5328720/2e1efe,1198,McGraw-Hill Education,2020,english,"PDF, 20.90 MB"
Cyber Security: The Lifeline Of Information And Communication Technology,Ramjee Prasad,https://covers.zlibcdn2.com/covers100/books/f3/19/b9/f319b90976947d9cfa169f69c962abc5.jpg,"
                    This book discusses a broad range of cyber security issues, addressing global concerns regarding cyber security in the modern era. The growth of Information and Communication Technology (ICT) and the prevalence of mobile devices make cyber security a highly topical and relevant issue. The transition from 4G to 5G mobile communication, while bringing convenience, also means cyber threats are growing exponentially. This book discusses a variety of problems and solutions including:
• Internet of things and Machine to Machine Communication;
• Infected networks such as Botnets;
• Social media and networking;
• Cyber Security for Smart Devices and Smart Grid
• Blockchain Technology and
• Artificial Intelligence for Cyber Security
Given its scope, the book offers a valuable asset for cyber security researchers, as well as industry professionals, academics, and students.                ",Unknown,295,Springer,2020,english,"PDF, 7.29 MB"
Information Security Governance Framework and Toolset for CISOs and Decision Makers.,Andrej Volchkov,https://covers.zlibcdn2.com/covers100/books/90/69/33/90693339cd50db9a18259ad447383b45.jpg,"
                    This book presents a framework to model the main activities of information security management and governance. The same model can be used for any security sub-domain such as cybersecurity, data protection, access rights management, business continuity, etc.                ",https://1lib.in/dl/4977677/e9f5d3,Unknown,Auerbach Publications,2019,english,"PDF, 5.93 MB"
Foundations of Information Security: A Straightforward Introduction,Jason Andress,https://covers.zlibcdn2.com/covers100/books/ca/1e/20/ca1e20d5a35c0b2274f178579e85923f.jpg,"
                    High-level overview of the information security field. Covers key concepts like confidentiality, integrity, and availability, then dives into practical applications of these ideas in the areas of operational, physical, network, application, and operating system security.

In this high-level survey of the information security field, best-selling author Jason Andress covers the basics of a wide variety of topics, from authentication and authorization to maintaining confidentiality and performing penetration testing.

Using real-world security breaches as examples, Foundations of Information Security explores common applications of these concepts, such as operations security, network design, hardening and patching operating systems, securing mobile devices, as well as tools for assessing the security of hosts and applications. 

You'll also learn the basics of topics like:
•  Multifactor authentication and how biometrics and hardware tokens can be used to harden the authentication process
•  The principles behind modern cryptography, including symmetric and asymmetric algorithms, hashes, and certificates
•  The laws and regulations that protect systems and data
•  Anti-malware tools, firewalls, and intrusion detection systems
•  Vulnerabilities such as buffer overflows and race conditions

A valuable resource for beginning security professionals, network systems administrators, or anyone new to the field, Foundations of Information Security is a great place to start your journey into the dynamic and rewarding field of information security.                ",https://1lib.in/dl/5255418/79a0bd,248,No Starch Press,2019,english,"EPUB, 3.07 MB"
"Information Security: Foundations, technologies and applications",Ali Ismail Awad,https://covers.zlibcdn2.com/covers100/books/c5/07/0f/c5070fbe0c0199b1a28d0d3f33f65d0b.jpg,"
                    The rapid advancements in telecommunications, computing hardware and software, and data encryption, and the widespread use of electronic data processing and electronic business conducted through the Internet have led to a strong increase in information security threats. The latest advances in information security have increased practical deployments and scalability across a wide range of applications to better secure and protect our information systems and the information stored, processed and transmitted. This book outlines key emerging trends in information security from the foundations and technologies in biometrics, cybersecurity, and big data security to applications in hardware and embedded systems security, computer forensics, the Internet of Things security, and network security. Information Security: Foundations, technologies and applications is a comprehensive review of cutting-edge algorithms, technologies, and applications, and provides new insights into a range of fundamentally important topics in the field. This up-to-date body of knowledge is essential reading for researchers and advanced students in information security, and for professionals in sectors where information security is required                ",https://1lib.in/dl/3614443/e07d45,Unknown,Institution of Engineering & Technology,2018,english,"PDF, 25.54 MB"
Fundamentals of information systems security,Kim,https://covers.zlibcdn2.com/covers100/books/b2/a7/c1/b2a7c1cdb4938c3b37d6925de0425ae9.jpg,"
                    Revised and updated with the latest data in the field, Fundamentals of Information Systems Security, Third Edition provides a comprehensive overview of the essential concepts readers must know as they pursue careers in information systems security. The text opens with a discussion of the new risks, threats, and vulnerabilities associated with the transition to a digital world. Part 2 presents a high level overview of the Security+ Exam and provides students with information as they move toward this certification. The book closes with information on information security standards, education, professional certifications, and compliance laws. With its practical, conversational writing style and step-by-step examples, this text is a must-have resource for those entering the world of information systems security.                ",https://1lib.in/dl/2922603/4d958e,548,Jones & Bartlett Learning,2018,english,"PDF, 10.74 MB"
Cyber dragon : inside China’s information warfare and cyber operations,Dean Cheng,https://covers.zlibcdn2.com/covers100/books/ca/56/e5/ca56e510f0d64ec0faca3a2a0525e75b.jpg,Unknown,https://1lib.in/dl/2956877/a96b10,302,Praeger,Unknown,english,"PDF, 2.46 MB"
Cyber-Security And Information Warfare,Nicholas J. Daras,https://covers.zlibcdn2.com/covers100/books/7c/53/03/7c5303f7eac5449f5787e2c70e0a5ac0.jpg,"
                    A variety of modern research methods in a number of innovating cyber-security techniques and information management technologies are provided in this book along with new related mathematical developments and support applications from engineering. This allows for the exploration of new approaches, useful practices and related problems for further investigation. Distinguished researchers and scientists coming from different scientific origins present their research and views concerning cyber-security, information warfare and communications systems. Graduate students, scientists and engineers interested in a broad spectrum of current theories, methods, and applications in interdisciplinary fields will find this book invaluable. Topics covered include: Electronic crime and ethics in cyberspace, new technologies in security systems/systems interfaces, economic information warfare, digital security in the economy, human factor evaluation of military security systems, cyber warfare, military communications, operational analysis and information warfare, and engineering applications to security systems/detection theory.                ",https://1lib.in/dl/5286233/40466a,399,Nova Science Publishers,2019,english,"PDF, 13.69 MB"
"Information Security Policy Development for Compliance: ISO/IEC 27001, NIST SP 800-53, HIPAA Standard, PCI DSS V2.0, and AUP V5.0",Barry L. Williams,https://covers.zlibcdn2.com/covers100/books/04/1e/84/041e849cda064b7bc18e64db2fc7d35b.jpg,"
Although compliance standards can be helpful guides to writing comprehensive security policies, many of the standards state the same requirements in slightly different ways. Information Security Policy Development for Compliance: ISO/IEC 27001, NIST SP 800-53, HIPAA Standard, PCI DSS V2.0, and AUP V5.0 provides a simplified way to write policies that meet the major regulatory requirements, without having to manually look up each and every control. Explaining how to write policy statements that address multiple compliance standards and regulatory requirements, the book will help readers elicit management opinions on information security and document the formal and informal procedures currently in place. Topics covered include:    Entity-level policies and procedures Access-control policies and procedures Change control and change management System information integrity and monitoring System services acquisition and protection Informational asset management Continuity of operations The book supplies you with the tools to use the full range of compliance standards as guides for writing policies that meet the security needs of your organization. Detailing a methodology to facilitate the elicitation process, it asks pointed questions to help you obtain the information needed to write relevant policies. More importantly, this methodology can help you identify the weaknesses and vulnerabilities that exist in your organization.A valuable resource for policy writers who must meet multiple compliance standards, this guidebook is also available in eBook format. The eBook version includes hyperlinks beside each statement that explain what the various standards say about each topic and provide time-saving guidance in determining what your policy should include. ",https://1lib.in/dl/2371292/7680b1,152,Auerbach Publications,2013,english,"PDF, 2.93 MB"
Computer and Information Security Handbook,John R. Vacca (Editor),https://covers.zlibcdn2.com/covers100/books/4f/a9/e4/4fa9e4e05fe07c7c7c835d14ceb88e4d.jpg,"
                    Computer and Information Security Handbook, Third Edition, provides the most current and complete reference on computer security available in one volume. The book offers deep coverage of an extremely wide range of issues in computer and cybersecurity theory, applications, and best practices, offering the latest insights into established and emerging technologies and advancements.

With new parts devoted to such current topics as Cloud Security, Cyber-Physical Security, and Critical Infrastructure Security, the book now has 100 chapters written by leading experts in their fields, as well as 12 updated appendices and an expanded glossary. It continues its successful format of offering problem-solving techniques that use real-life case studies, checklists, hands-on exercises, question and answers, and summaries.

Chapters new to this edition include such timely topics as Cyber Warfare, Endpoint Security, Ethical Hacking, Internet of Things Security, Nanoscale Networking and Communications Security, Social Engineering, System Forensics, Wireless Sensor Network Security, Verifying User and Host Identity, Detecting System Intrusions, Insider Threats, Security Certification and Standards Implementation, Metadata Forensics, Hard Drive Imaging, Context-Aware Multi-Factor Authentication, Cloud Security, Protecting Virtual Infrastructure, Penetration Testing, and much more.

Online chapters can also be found on the book companion website:
https://www.elsevier.com/books-and-journals/book-companion/9780128038437

• Written by leaders in the field
• Comprehensive and up-to-date coverage of the latest security technologies, issues, and best practices
• Presents methods for analysis, along with problem-solving techniques for implementing practical solutions                ",https://1lib.in/dl/3401643/1d57af,1280,Morgan Kaufmann,2017,english,"PDF, 30.76 MB"
ISACA CISM Certification: Certified Information Security Manager Courseware,Firebrand,https://covers.zlibcdn2.com/covers100/books/f2/a3/19/f2a3198faa117d51dcec827534bf28f8.jpg,Unknown,https://1lib.in/dl/3653466/b57043,207,Firebrand,2017,english,"PDF, 1.66 MB"
Principles of Information Security,Whitman,https://covers.zlibcdn2.com/covers100/books/af/1e/c8/af1ec8bc93e08db058eee69504cf027c.jpg,Unknown,https://1lib.in/dl/3658327/4abfe6,728,Cengage Learning,2017,english,"PDF, 20.19 MB"
The Standard of Good Practice for Information Security,Information Security Forum,https://covers.zlibcdn2.com/covers100/books/f9/91/66/f99166afa96cdfc55938bb076999f02b.jpg,"
The Standard of Good Practice for Information Security (the Standard) has been produced by the Information Security Forum (ISF), an international association of over 300 leading organisations which fund and co-operate in the development of a practical research programme in information security. During the last 18 years the ISF has spent more than US$100 million providing authoritative material to its Members. The ISF's work represents the most comprehensive and integrated set of material anywhere in the world in the area of information risk management.The Standard of Good Practice is a key deliverable from the ISF’s extensive work programme. It has been developed and enhanced over a number of years and has benefited from the results of the many projects run by the ISF.As the ISF is a membership organisation, ISF reports are normally for the exclusive use of ISF Members. However, the ISF has made The Standard of Good Practice available to non-Members with the objectives of:• promoting good practice in information security in all organisations worldwide• helping organisations which are not Members of the ISF to improve their level of security and to reduce their information risk to an acceptable level• assisting in the development of standards that are practical, focused on the right areas, and effective in reducing information risk.The Standard has been developed using a proven methodology to produce the international benchmark for information security. The Standard is updated regularly, refining proven practices and addressing 'hot topics’.The ISF runs a comprehensive Information Security Status Survey that enables Members to gain a clear picture of their organisation's performance across all aspects of information security. The Survey provides a practical, automated tool with which a Member organisation can measure the effectiveness of their information security arrangements, compare them with those of other leading organisations, and assess how well they are performing against The Standard of Good Practice. ",https://1lib.in/dl/1082728/c9559f,372,Information Security Forum,2007,english,"PDF, 3.22 MB"
(ISC)² CISSP certified information systems security professional: official study guide,Chapple,https://covers.zlibcdn2.com/covers100/books/96/dd/ac/96ddac4a23fbd5d3e2d0c3cd329b5003.jpg,"
                    CISSP (ISC)2 Certified Information Systems Security Professional Official Study Guide, 8th Edition has been completely updated for the latest 2018 CISSP Body of Knowledge. This bestselling Sybex study guide covers 100% of all exam objectives. You'll prepare for the exam smarter and faster with Sybex thanks to expert content, real-world examples, advice on passing each section of the exam, access to the Sybex online interactive learning environment, and much more. Reinforce what you've learned with key topic exam essentials and chapter review questions -- Provided by the publisher.  Read more...  Abstract:            CISSP (ISC)2 Certified Information Systems Security Professional Official Study Guide, 8th Edition has been completely updated for the latest 2018 CISSP Body of Knowledge. This bestselling Sybex study guide covers 100% of all exam objectives. You'll prepare for the exam smarter and faster with Sybex thanks to expert content, real-world examples, advice on passing each section of the exam, access to the Sybex online interactive learning environment, and much more. Reinforce what you've learned with key topic exam essentials and chapter review questions -- Provided by the publisher                ",https://1lib.in/dl/4975926/5519eb,1050,John Wiley & Sons,2018,english,"PDF, 19.59 MB"
"Information Security Policies, Procedures, and Standards: A Practitioner’s Reference",Douglas J. Landoll,https://covers.zlibcdn2.com/covers100/books/fd/46/9e/fd469ebfcaecfd6b5fc6dd823a643d85.jpg,"
Information Security Policies, Procedures, and Standards: A Practitioner's Reference gives you a blueprint on how to develop effective information security policies and procedures. It uses standards such as NIST 800-53, ISO 27001, and COBIT, and regulations such as HIPAA and PCI DSS as the foundation for the content. Highlighting key terminology, policy development concepts and methods, and suggested document structures, it includes examples, checklists, sample policies and procedures, guidelines, and a synopsis of the applicable standards. The author explains how and why procedures are developed and implemented rather than simply provide information and examples. This is an important distinction because no two organizations are exactly alike; therefore, no two sets of policies and procedures are going to be exactly alike. This approach provides the foundation and understanding you need to write effective policies, procedures, and standards clearly and concisely. Developing policies and procedures may seem to be an overwhelming task. However, by relying on the material presented in this book, adopting the policy development techniques, and examining the examples, the task will not seem so daunting. You can use the discussion material to help sell the concepts, which may be the most difficult aspect of the process. Once you have completed a policy or two, you will have the courage to take on even more tasks. Additionally, the skills you acquire will assist you in other areas of your professional and private life, such as expressing an idea clearly and concisely or creating a project plan. ",https://1lib.in/dl/2838301/5b9d30,254,"Auerbach Publications, CRC",2016,english,"PDF, 4.94 MB"
Handbook Of Research On Information And Cyber Security In The Fourth Industrial Revolution,Ziska Fields,https://covers.zlibcdn2.com/covers100/books/77/ff/32/77ff32fa7cf75845c56bea4bae4ff1f0.jpg,"
                    The prominence and growing dependency on information communication technologies in nearly every aspect of life has opened the door to threats in cyberspace. Criminal elements inside and outside organizations gain access to information that can cause financial and reputational damage. Criminals also target individuals daily with personal devices like smartphones and home security systems who are often unaware of the dangers and the privacy threats around them. The Handbook of Research on Information and Cyber Security in the Fourth Industrial Revolution is a critical scholarly resource that creates awareness of the severity of cyber information threats on personal, business, governmental, and societal levels. The book explores topics such as social engineering in information security, threats to cloud computing, and cybersecurity resilience during the time of the Fourth Industrial Revolution. As a source that builds on available literature and expertise in the field of information technology and security, this publication proves useful for academicians, educationalists, policy makers, government officials, students, researchers, and business leaders and managers.                ",https://1lib.in/dl/5233382/bc57c4,674,IGI Global/IRMA,2018,english,"PDF, 22.94 MB"
An Introduction to Information Security and ISO 27001,Steve G Watkins,https://covers.zlibcdn2.com/covers100/books/24/82/e8/2482e81391eb169d086c1036f4b008da.jpg,Unknown,https://1lib.in/dl/1242676/cc5c72,48,IT Governance Publishing,2008,english,"PDF, 340 KB"
(ISC)² CISSP: certified information systems security professional: official practice tests,Chapple,https://covers.zlibcdn2.com/covers100/books/96/09/f9/9609f9514d25f80cb354f97841dda0d9.jpg,Unknown,https://1lib.in/dl/4975924/6371a3,441,Sybex,2018,english,"PDF, 13.68 MB"
Foundations of Information Security: A Straightforward Introduction,Jason Andress,https://covers.zlibcdn2.com/covers100/books/0d/dc/cd/0ddccdab1a2e316f0b62bfa03b4e1ad1.jpg,"
                    High-level overview of the information security field. Covers key concepts like confidentiality, integrity, and availability, then dives into practical applications of these ideas in the areas of operational, physical, network, application, and operating system security.

In this high-level survey of the information security field, best-selling author Jason Andress covers the basics of a wide variety of topics, from authentication and authorization to maintaining confidentiality and performing penetration testing.

Using real-world security breaches as examples, Foundations of Information Security explores common applications of these concepts, such as operations security, network design, hardening and patching operating systems, securing mobile devices, as well as tools for assessing the security of hosts and applications. 

You'll also learn the basics of topics like:
• Multifactor authentication and how biometrics and hardware tokens can be used to harden the authentication process
• The principles behind modern cryptography, including symmetric and asymmetric algorithms, hashes, and certificates
• The laws and regulations that protect systems and data
• Anti-malware tools, firewalls, and intrusion detection systems
• Vulnerabilities such as buffer overflows and race conditions

A valuable resource for beginning security professionals, network systems administrators, or anyone new to the field, Foundations of Information Security is a great place to start your journey into the dynamic and rewarding field of information security.                ",https://1lib.in/dl/5648161/cfbd9d,248,No Starch Press,2019,english,"PDF, 15.68 MB"
"Handbook of Research on Machine and Deep Learning Applications for Cyber Security (Advances in Information Security, Privacy, and Ethics)",Padmavathi Ganapathi (editor),https://covers.zlibcdn2.com/covers100/books/19/6b/4b/196b4bac5e6829090d80b6e796f23b2a.jpg,"
                    ""This book explores the use of machine learning and deep learning applications in the areas of cyber security and cyber-attack handling mechanisms""--                ",https://1lib.in/dl/5534768/a37c16,512,Information Science Reference,2020,english,"PDF, 15.11 MB"
Information Security and IT Risk Management,Manish Agrawal,https://covers.zlibcdn2.com/covers100/books/3e/d5/d0/3ed5d0263e86b6d2ca70876494571dd2.jpg,Unknown,https://1lib.in/dl/3590112/06fb12,434,Wiley,Unknown,english,"PDF, 30.58 MB"
Management of Information Security,Michael E. Whitman,https://covers.zlibcdn2.com/covers100/books/c7/f9/7c/c7f97c2ae6b9b73eff6adb10104e63b9.jpg,"
                    MANAGEMENT OF INFORMATION SECURITY, Sixth Edition prepares you to become an information security management practitioner able to secure systems and networks in a world where continuously emerging threats, ever-present attacks and the success of criminals illustrate the weaknesses in current information technologies. You'll develop both the information security skills and practical experience that organizations are looking for as they strive to ensure more secure computing environments. The text focuses on key executive and managerial aspects of information security. It also integrates coverage of CISSP and CISM throughout to effectively prepare you for certification. Reflecting the most recent developments in the field, it includes the latest information on NIST, ISO and security governance as well as emerging concerns like Ransomware, Cloud Computing and the Internet of Things.                ",https://1lib.in/dl/3676469/513f78,672,Cengage Learning,2018,english,"PDF, 444.12 MB"
Introduction to Machine Learning with Applications in Information Security,Mark Stamp,https://covers.zlibcdn2.com/covers100/books/2d/0e/f2/2d0ef280a979ad20661d3c4663235a90.jpg,"
Introduction to Machine Learning with Applications in Information Security provides a class-tested introduction to a wide variety of machine learning algorithms, reinforced through realistic applications. The book is accessible and doesn’t prove theorems, or otherwise dwell on mathematical theory. The goal is to present topics at an intuitive level, with just enough detail to clarify the underlying concepts.  The book covers core machine learning topics in-depth, including Hidden Markov Models, Principal Component Analysis, Support Vector Machines, and Clustering. It also includes coverage of Nearest Neighbors, Neural Networks, Boosting and AdaBoost, Random Forests, Linear Discriminant Analysis, Vector Quantization, Naive Bayes, Regression Analysis, Conditional Random Fields, and Data Analysis.  Most of the examples in the book are drawn from the field of information security, with many of the machine learning applications specifically focused on malware. The applications presented are designed to demystify machine learning techniques by providing straightforward scenarios. Many of the exercises in this book require some programming, and basic computing concepts are assumed in a few of the application sections. However, anyone with a modest amount of programming experience should have no trouble with this aspect of the book.  Instructor resources, including PowerPoint slides, lecture videos, and other relevant material are provided on an accompanying website: http://www.cs.sjsu.edu/~stamp/ML/. For the reader’s benefit, the figures in the book are also available in electronic form, and in color.  About the Author  Mark Stamp has been a Professor of Computer Science at San Jose State University since 2002. Prior to that, he worked at the National Security Agency (NSA) for seven years, and a Silicon Valley startup company for two years. He received his Ph.D. from Texas Tech University in 1992. His love affair with machine learning began in the early 1990s, when he was working at the NSA, and continues today at SJSU, where he has supervised vast numbers of master’s student projects, most of which involve a combination of information security and machine learning. ",https://1lib.in/dl/3381267/c05a79,364,Chapman and Hall / CRC,2017,english,"PDF, 7.50 MB"
SSL and TLS: Theory and Practice (Information Security and Privacy),Rolf Oppliger,https://covers.zlibcdn2.com/covers100/books/12/63/7f/12637f92c0168283fcff552fa7b2bdef.jpg,"
                    SSL and TLS Theory and Practice is a pick for any college-level computer library strong in Internet security. It provides a basic and thorough introduction to SSL and TLS protocols, covering their design, development, and comparing them to other Internet security protocols. Tips on how to employ these and configure security solutions make for a powerful technical survey any programmer's library needs.                ",https://1lib.in/dl/688210/e0063d,280,Artech House Publishers,2009,english,"PDF, 1.62 MB"
Modern Cryptography: Applied Mathematics for Encryption and Information Security ,Easttom,https://covers.zlibcdn2.com/covers100/books/f2/04/a3/f204a38f905bd0a006ddceb2d21bcb93.jpg,"
                    A Practical Guide to Cryptography Principles and Security Practices 
Employ cryptography in real-world security situations using the hands-on
 information contained in this book. InfoSec expert Chuck Easttom lays 
out essential math skills and fully explains how to implement 
cryptographic algorithms in today's data protection landscape. Find out 
how to use ciphers and hashes, generate random keys, handle VPN and WiFi
 security, and encrypt VoIP, Email, and Web communications. Modern Cryptography: Applied Mathematics for Encryption and Information Security covers cryptanalysis, steganography, and cryptographic backdoors. * Learn the necessary number theory, discrete math, and algebra * Employ symmetric ciphers, including Feistel and substitution-permutation ciphers* Understand asymmetric cryptography algorithms* Design s-boxes that maximize output non-linearity* Deploy cryptographic hashes* Create cryptographic keys using pseudo random number generators* Encrypt Web traffic using SSL/TLS* Secure VPN, WiFi, and SSH communications* Work with cryptanalysis and steganography * Explore government, military, and intelligence agency applicationsThis
 book is meant for those without a strong mathematics backgound.  Only 
just enough math to understand the algorithms is given. The idea of the 
book is to be a gateway to enter the world of cryptography.                ",https://1lib.in/dl/2714439/4598bb,505,McGraw-Hill Education,2016,english,"PDF, 13.66 MB"
CISM Certified Information Security Manager Practice Exams,Peter H. Gregory,https://covers.zlibcdn2.com/covers100/books/f0/dd/bf/f0ddbfad2674b63f49b57dca19940f8d.jpg,"
Take the current version of the challenging CISM exam with complete confidence using relevant practice questions contained in this effective self-study guide. Each chapter of the book contains a battery of questions that closely match those on the live test in content, format, tone, and feel. To reinforce salient points and facilitate retention, in-depth explanations are provided for both the correct and incorrect answer choices. Written by an InfoSec expert and experienced author, CISM® Certified Information Security Manager® Practice Exams thoroughly covers every subject on the exam. Designed to help you pass the test with greater ease, this book is also an ideal companion to the CISM Certified Information Security Manager All-in-One Exam Guide.Covers all four exam domains:•Information security governance•Information risk management•Information security program development and management•Information security incident managementOnline content includes:•Test engine that provides a full-length practice exam and customized quizzes by chapter or exam domain ",https://1lib.in/dl/5474579/7c87bc,Unknown,McGraw-Hill Education,2019,english,"PDF, 2.99 MB"
