title,author,image,desc,download_link,pages,publisher,year,language,file
"Soil Mechanics of Earthworks, Foundations and Highway Engineering",,https://covers.zlibcdn2.com/covers100/books/01/c8/78/01c87896be8bcaca52e07c089af05f6f.jpg,"
                    This is the third volume of a handbook which covers the whole field of soil mechanics, discussing deterministic and stochastic theories and methods, and showing how they can be used in conjunction with one another. The first volume discusses soil physics, while the second deals with the determination of physical characteristics of the soil.  Australian Mining wrote of the Handbook ``a valuable addition to the extensive literature on the topic and will be found to be more useful than most.''The main objective of the third volume is to present solutions to the problems of engineering practice. It deals with the most important theoretical and practical problems of soil mechanics, discussing the following in detail: stability of earthworks, load-bearing capacity and settlement of shallow foundations, design of pile foundations, soil mechanics in road construction, improving the physical properties of soils, the characteristics of soil dynamics, foundations for machines and soil behaviour as affected by earthquakes. The book not only presents up-to-date deterministic methods, but also discusses solutions of probability theory in the fields of design and safety.The book is divided into six chapters covering the stability of slopes, landslides, load-bearing capacity and settlement of shallow foundations and pile foundations, soil mechanics in road construction, and the improvement of the physical characteristics of soil with special emphasis on machine foundations and earthquakes, giving detailed treatment of each subject. For example, the first chapter deals not only with the stability of slopes, but also discusses the natural and artificial effects, slope protection, filter design, stresses in embankments, and the time factor. In this way, the book gives a clear and comprehensive picture of the special fields of soil mechanics and its subjects. It is therefore emminently suitable for postgraduate engineers, and engineers working in the fields of geotechnics, earthworks, foundations, road construction, engineering geology and statistics, and the design of structures. ",https://1lib.in/dl/2279969/9cd462,354,Elsevier Science,1988,english,"PDF, 9.35 MB"
"Foundation Engineering: Design and Construction in Tropical Soils (Balkema: Proceedings and Monographs in Engineering, Water and Earth Sciences)",B.B.K. Huat,https://covers.zlibcdn2.com/covers100/books/1b/64/a8/1b64a8a6064f320d5e8676e4654d99c4.jpg,"
                    Residual soils are found in many parts of the world. Like other soils, they are used extensively in construction, being built upon and used as construction materials. Residual soils are formed when the processes of rock weathering proceed at a faster rate than the transport processes by water, gravity and wind, whereby much of the resulting soils will remain in place. The soil typically retains many of the characteristics of the parent rock. In a tropical region, residual soil layers can be very thick, sometimes extending for hundred of meters before reaching unweathered rock.    This book has gathered state-of-the-art knowledge from a number of experienced experts working in foundation engineering in tropical residual soils. Subjects covered are: geology and formation of residual soils, site investigations, characterization and selection of parameters for foundation design, design of shallow and deep foundations which include driven piles, drilled shafts and caissons, and special topics which include design of piles in marginally-stable river banks, micro piles, Augeo pile, pile load and NDT, foundation failures and remedial works, and pile supported embankment. The book also includes a country case study on engineering geology in relation to foundation engineering in Malaysia.                ",https://1lib.in/dl/1247565/f9e712,256,Taylor & Francis,2006,english,"PDF, 86.52 MB"
"Practical Problems in Soil Mechanics and Foundation Engineering, 2 Wall and Foundation Calculations, Slope Stability",Sheng Y. Peng,https://covers.zlibcdn2.com/covers100/books/7d/29/cb/7d29cb9ff872aab75c6093386b69a825.jpg,Unknown,https://1lib.in/dl/2800423/3ccf77,346,Elsevier Science Ltd,1985,english,"PDF, 9.86 MB"
"Underwater Embankments on Soft Soil A Case History: A Case History (Balkema: Proceedings and Monographs in Engineering, Water and Earth Sciences)",William F. van Impe,https://covers.zlibcdn2.com/covers100/books/2b/28/d7/2b28d733b9ded3fb3a0b37d1e5c56963.jpg,Unknown,https://1lib.in/dl/981008/e79e1d,154,Unknown,2007,english,"PDF, 3.35 MB"
Eco- and Ground Bio-Engineering: The Use of Vegetation to Improve Slope Stability: Proceedings of the First International Conference on Eco-Engineering ... (Developments in Plant and Soil Sciences),Alexia Stokes,https://covers.zlibcdn2.com/covers100/books/d2/7c/f5/d27cf5f0f78661cdc6a1bb51872017f7.jpg,"
                    This volume brings together papers from geotechnical and civil engineers, biologists, ecologists and foresters. They discuss current problems in slope stability research and how to address them using ground bio- and eco-engineering techniques. Coverage presents studies by scientists and practitioners on slope instability, erosion, soil hydrology, mountain ecology, land use and restoration and how to mitigate these problems using vegetation.                ",https://1lib.in/dl/901430/e57c96,420,Unknown,2007,english,"PDF, 10.67 MB"
"Education and Training in Geo-Engineering Sciences: Soil Mechanics and Geotechnical Engineering, Engineering Geology, Rock Mechanics",Iacint Manoliu (Editor),https://covers.zlibcdn2.com/covers100/books/2a/85/a3/2a85a3de8e7a1a806373e75389652ccd.jpg,"
In recent years the International Society for Soil Mechanics and Geotechnical Engineering (ISSMGE), the International Association for Engineering Geology and Environment (IAEG), and the International Society for Rock Mechanics (ISRM) have concluded a Cooperation Agreement, leading to the foundation of the Federation of International Geo-engineering ",https://1lib.in/dl/5982938/e28e87,Unknown,CRC Press,2008,Unknown,"PDF, 375.03 MB"
"Soil and Water Contamination: From molecular to catchment scale (Balkema: Proceedings and Monographs in Engineering, Water and Earth Sciences)",Marcel van der Perk,https://covers.zlibcdn2.com/covers100/books/3e/38/75/3e387570c44076d6ae03685077291479.jpg,"
                    This textbook provides an overview of transport and fate processes of environmental contamination, in such a way that the reader can both understand and predict contaminant patterns in soil, groundwater, and surface water. In contract to most existing texts, soil and water pollution are treated as integrated environmental matter from a geographical/spatial perspective at point, local, regional, and catchment scales. The spatial approach links up with recent developments and trends in environmental legislation and other integrated catchment management initiatives.   It consists of four coherent parts: 1. Introduction to soil and water contamination; 2. Source, role, and behavior of substances in soil and water; 3. Transport and fate processes of substances in soil and water; and 4. Patterns of substances in soil and water.   Intended for undergraduate and graduate students in Earth and Environmental Sciences, who understand the fundamentals of chemistry, hydrology and soil science; may also serve as a useful reference for professionals.                ",https://1lib.in/dl/966945/b3831a,404,Unknown,2006,english,"PDF, 5.78 MB"
Principles of Thermodynamics,Jean-Philippe Ansermet,https://covers.zlibcdn2.com/covers100/books/29/8d/5b/298d5b793e8e4ea777c283a683438cb2.jpg,"
                    In this introductory textbook, thermodynamics is presented as a natural extension of mechanics, so that the laws and concepts learned in mechanics serve to get acquainted with the theory. The foundations of thermodynamics are presented in the first part. The second part covers a wide range of applications, which are of central importance in the fields of physics, chemistry and engineering, including calorimetry, phase transitions, heat engines and chemical reactions. In the third part, devoted to continuous media, Fourier and Fick's laws, diffusion equations and many transport effects are derived using a unified approach. Each chapter concludes with a selection of worked examples and several exercises, to reinforce key concepts under discussion. A full solutions manual is available at the end of the book. It contains more than 150 problems based on contemporary issues faced by scientists and engineers that are solved in detail for undergraduate and graduate students.                ",https://1lib.in/dl/3685253/9f5b4e,529,Cambridge University Press,2019,english,"PDF, 11.50 MB"
Thermodynamics: An Engineering Approach 8th Edition,Yunus A. Çengel,https://covers.zlibcdn2.com/covers100/books/6a/4e/d7/6a4ed73ae00d3eef0b078cfb696c02e2.jpg,"
Thermodynamics, An Engineering Approach, eighth edition, covers the basic principles of thermodynamics while presenting a wealth of real-world engineering examples so students get a feel for how thermodynamics is applied in engineering practice. This text helps students develop an intuitive understanding by emphasizing the physics and physical arguments. Cengel and Boles explore the various facets of thermodynamics through careful explanations of concepts and use of numerous practical examples and figures, having students develop necessary skills to bridge the gap between knowledge and the confidence to properly apply their knowledge. McGraw-Hill is proud to offer Connect with the eighth edition of Cengel/Boles, Thermodynamics, An Engineering Approach. Connect is the only integrated learning system that empowers students by continuously adapting to deliver precisely what they need, when they need it, how they need it, so that your class time is more engaging and effective. Problems are graded automatically, and the results are recorded immediately. Track individual student performance - by question, assignment, or in relation to the class overall with detailed grade reports. ",https://1lib.in/dl/2577672/7b237e,1115,McGraw-Hill Education,2014,english,"PDF, 64.77 MB"
Thermal Physics: Thermodynamics and Statistical Mechanics for Scientists and Engineers,Robert F. Sekerka,https://covers.zlibcdn2.com/covers100/books/d0/c0/fb/d0c0fb6ef1544a096ece0f3689462a2e.jpg,"
In Thermal Physics: Thermodynamics and Statistical Mechanics for Scientists and Engineers, the fundamental laws of thermodynamics are stated precisely as postulates and subsequently connected to historical context and developed mathematically. These laws are applied systematically to topics such as phase equilibria, chemical reactions, external forces, fluid-fluid surfaces and interfaces, and anisotropic crystal-fluid interfaces. Statistical mechanics is presented in the context of information theory to quantify entropy, followed by development of the most important ensembles: microcanonical, canonical, and grand canonical. A unified treatment of ideal classical, Fermi, and Bose gases is presented, including Bose condensation, degenerate Fermi gases, and classical gases with internal structure. Additional topics include paramagnetism, adsorption on dilute sites, point defects in crystals, thermal aspects of intrinsic and extrinsic semiconductors, density matrix formalism, the Ising model, and an introduction to Monte Carlo simulation.  Throughout the book, problems are posed and solved to illustrate specific results and problem-solving techniques.Includes applications of interest to physicists, physical chemists, and materials scientists, as well as materials, chemical, and mechanical engineersSuitable as a textbook for advanced undergraduates, graduate students, and practicing researchersDevelops content systematically with increasing order of complexitySelf-contained, including nine appendices to handle necessary background and technical details   ",https://1lib.in/dl/2717455/9a083e,610,Elsevier,2015,english,"PDF, 7.57 MB"
