title,author,image,desc,download_link,pages,publisher,year,language,file
"The Human Brain Book: An Illustrated Guide to Its Structure, Function, and Disorders",DK,https://covers.zlibcdn2.com/covers100/books/b9/c4/19/b9c4190a6bea2d4c5173a53da000d74a.jpg,"
                    This award-winning science book uses the latest findings from neuroscience research and brain-imaging technology to take you on a journey into the human brain.

CGI artworks and brain MRI scans reveal the brain's anatomy in unprecedented detail. Step-by-step sequences unravel and simplify the complex processes of brain function, such as how nerves transmit signals, how memories are laid down and recalled, and how we register emotions. The book answers fundamental and compelling questions about the brain: what does it mean to be conscious, what happens when we're asleep, and are the brains of men and women different?

This is an accessible and authoritative reference book to a fascinating part of the human body. Thanks to improvements in scanning technology, our understanding of the brain is changing quickly. Now in its third edition, The Human Brain Book provides an up-to-date guide to one of science's most exciting frontiers. With its coverage of more than 50 brain-related diseases and disorders--from strokes to brain tumors and schizophrenia--it is also an essential manual for students and healthcare professionals.                ",https://1lib.in/dl/3657909/65967b,266,DK Publishing (Dorling Kindersley),2019,english,"PDF, 65.54 MB"
Vander’s Human Physiology,Eric Widmaier,https://covers.zlibcdn2.com/covers100/books/ae/bb/68/aebb6895f4cb32f9963c51b1d5682660.jpg,"
                    Eric Widmaier (Boston University), Hershel Raff (Medical College of Wisconsin), and Kevin Strang (University of Wisconsin) have taken on the challenge of maintaining the strengths and reputation of Vander's Human Physiology: The Mechanisms of Body Function. Moving beyond the listing of mere facts, it stresses the causal chains of events that constitute the mechanisms of body function. The fundamental purpose of this textbook is to present the principles and facts of human physiology in a format that is suitable for undergraduates regardless of academic background or field of study.Vander's Human Physiology, fifteenth edition, carries on the tradition of clarity and accuracy, while refining and updating the content to meet the needs of today's instructors and students. The new edition offers an integrated package of textual and digital material to help deliver basic and clinical content, real-life applications, and educational technologies to students of physiology. With the 15th edition of Vander's Human Physiology, all these pieces come together to facilitate learning and enthusiasm for understanding the mechanisms of body function.Users who purchase Connect A&P receive access to the following digital resources:LearnSmart PrepSmartBookTegrity (Lecture Capture)Ph.i.L.S. (Physiology Interactive Laboratory Simulations)Anatomy & Physiology Revealed (Cadaver Version)                ",https://1lib.in/dl/3610016/2d7bf5,801,McGraw-Hill Education,2018,english,"PDF, 116.15 MB"
Strength Training Anatomy - 2nd Edition,Frederic Delavier,https://covers.zlibcdn2.com/covers100/books/7f/b5/89/7fb58950eb2038271fd1f6f4235ff02e.jpg,"
                    Discover for yourself the magic of  Strength Training Anatomy, one of the best-selling strength training books ever published!       Get an intricate look at strength training from the inside out.  Strength Training Anatomy, with over 850,000 copies already sold, brings anatomy to life with more than 400 full-color illustrations. This detailed artwork showcases the muscles used during each exercise and delineates how these muscles interact with surrounding joints and skeletal structures. Like having an X-ray for each exercise, the information gives you a multilateral view of strength training not seen in any other resource.        This updated bestseller also contains new information on common strength training injuries and preventive measures to help you exercise safely. Chapters are devoted to each major muscle group, with 115 total exercises for arms, shoulders, chest, back, legs, buttocks, and abdomen.                ",https://1lib.in/dl/662721/21b48a,151,Human Kinetics,2005,english,"PDF, 21.93 MB"
"The Concise Human Body Book: An Illustrated Guide to its Structure, Function, and Disorders",Steve Parker,https://covers.zlibcdn2.com/covers100/books/04/49/3c/04493cdf1c9c2dc3a2407ec766e30f6a.jpg,"
                    Discover all there is to know about human anatomy in DK's latest concise visual guide to the human body.

Fully updated to reflect the latest medical information, The Concise Human Body Book is illustrated throughout with colorful and comprehensive diagrams, photographs, scans, and 3D artworks, which take you right into the cells and fibers that are responsible for keeping your body ticking.The Concise Human Body Book provides full coverage of the body, function by function, system by system. In the opening chapter, colorful medical scans, illustrations, and easy-to-understand diagrams show you how the different parts of the body work together to produce a living whole. Eleven main body systems - including the skeletal system, cardiovascular system, and respiratory system - are then covered in intricate detail in the following chapters, with each section ending on common diseases and disorders that can affect that system.

From bones and muscles to systems and processes, this in-depth, pocket-sized guide to the body's physical structure, chemical workings, and potential problems is the must-have reference manual for trainee medical professionals, students, or anyone interested in finding out more about how the human body works. ",https://1lib.in/dl/5223435/f47a7a,322,"DK, Dorling Kindersley",2019,english,"PDF, 63.98 MB"
Netter Interactive Atlas of Human Anatomy v3.0,Frank H. Netter MD,https://covers.zlibcdn2.com/covers100/books/0f/85/12/0f85127f14caace01186f95624db5a59.jpg,"
                    This robust, interactive atlas includes hundreds of Netter illustrations and images, as well as audio pronunciations for every label, image title and image subtitle see it, say it, learn it! Great for initial learning, study, and exam review! Netter's Interactive Atlas of Human Anatomy, v3.0 provides the depth, accuracy and detail required to create powerful and effective classroom presentations! Also available for institutional license.
- Add comments on the fly
- Zoom in for closer look
- Print images in grayscale or color
- Turn off labels for quick, visual reviews                ",https://1lib.in/dl/543501/a8c00d,977,Saunders,2002,english,"PDF, 35.61 MB"
Human Anatomy,Frederic H. Martini,https://covers.zlibcdn2.com/covers100/books/42/ae/b4/42aeb4ec32d9f17ec5fcc4fef219d47e.jpg,"
For courses in one-semester human anatomy.      A fresh voice strengthens a visually compelling, classic human anatomy text  Revered for its groundbreaking, atlas-style format, detailed illustrations, and exceptionally clear photographs, Human Anatomy has long been known for its quality and sophistication, as well as its scope and level of coverage. Accomplished author and award-winning educator Judi Nath joins the writing team, bringing a fresh voice, enhanced accuracy, and a clear, engaging writing style to the 9th Edition.   The new edition builds upon the legacy of previous editions and includes expanded clinical content to help students focus on the types of diseases and injuries they are likely to encounter in their future careers; visually stunning Spotlight Figures in every chapter to guide students through complex topics; and new features that focus students on the key point in each section and use simple analogies and memory devices to help students remember facts and concepts.     Also available with Mastering A&P  Mastering™ A&P is an online homework, tutorial, and assessment program designed to engage students and improve results. Instructors ensure that students arrive ready to learn by assigning educationally effective content before class, and encourage critical thinking and retention with in-class resources such as Learning Catalytics™. Students can further master concepts after class through assignments that provide hints and answer-specific feedback. With a wide range of activities available, students can actively learn, understand, and retain even the most difficult concepts. A robust suite of online resources in Mastering A&P, including Spotlight Figure Coaching Activities and Dynamic Study Modules, allow students to interact with content from the book and learn more about the most difficult concepts.   For the instructor, the new Ready-to-Go Teaching Modules help them navigate the robust suite of tools available in Mastering A&P to teach the toughest topics. A curated collection of before-class assignments, in-class activities, and after-class assignments are provided to help faculty efficiently plan their lectures and assignments. Instructors can incorporate active learning into their course with the suggested activity ideas and clicker questions or Learning Catalytics™ questions.     Note: You are purchasing a standalone product; Mastering™ A&P does not come packaged with this content. Students, if interested in purchasing this title with  Mastering A&P, ask your instructor for the correct package ISBN and Course ID. Instructors, contact your Pearson representative for more information.    If you would like to purchase both the physical text and  Mastering A&P, search for:    0134296036 / 9780134296036 Human Anatomy Plus Mastering A&P with eText -- Access Card Package     Package consists of:    0134292332 / 9780134292335 Mastering A&P with Pearson eText -- ValuePack Access Card -- for Human Anatomy   013432076X / 9780134320762 Human Anatomy        Mastering A&P should only be purchased when required by an instructor.    ",https://1lib.in/dl/3433980/cb5f3a,880,Pearson,2017,english,"PDF, 86.48 MB"
Human Anatomy and Physiology,Elaine N. Marieb,https://covers.zlibcdn2.com/covers100/books/85/cc/b6/85ccb651d7613751bba3447d03de1ea5.jpg,Unknown,https://1lib.in/dl/3690507/98b955,1249,Unknown,Unknown,english,"PDF, 252.00 MB"
Abrahams’ and McMinn’s Clinical Atlas of Human Anatomy,Peter H. Abrahams,https://covers.zlibcdn2.com/covers100/books/eb/4d/51/eb4d517f804b715a226ac963a24d7b6f.jpg,"
                    Abrahams' and McMinn’s Clinical Atlas of Human Anatomy, 8th Edition delivers the straightforward visual guidance you need to perform confidently in all examinations and understand spatial relationships required during your medical training, while also acquiring the practical anatomical knowledge needed for your future clinical career. Respected authority Prof. Peter Abrahams and his team of leading international anatomists and radiologists link a vast collection of clinical images to help you master all the essential correlations between the basic science of anatomy and its clinical practice.

See what to look for and how to proceed thanks to an unsurpassed collection of labelled dissection photographs, supported by clear, explanatory diagrams and modern imaging
Correlate anatomy to clinical practice with a wealth of MR, CT, DSA, radiographic, endoscopic, and operative images that demonstrate how structures are viewed today in the clinical setting
Thoroughly revised and updated throughout, including:
brand new dissections, to further improve clarity and consistency throughout the book in every region
all new colour overlays added to selected dissections making it even easier to identify key nerves, arteries, veins and especially lymphatics
fully revised neuroanatomy content reflects the latest understanding of functional neuroanatomy as seen with modern 3D and functional imaging
updated and coloured and a unique lymphatics section
Includes access to the complete, enhanced eBook - unlocking a huge, carefully-selected collection of BONUS CLINICAL material, integrated throughout on almost every page to enhance your study and help make those essential clinical / anatomical connections.
This sets Abrahams' and McMinn's apart from any other atlases of human anatomy!
200+ 3D scans,- allowing you to view the body in a more dynamic way to aid your understanding of dynamic anatomy.
Master the 500 clinical conditions every physician should know by reviewing the associated clinical topics - featuring over 2000 additional clinical photos, radiological images, and case presentations not found in the printed book. Learn from the culmination of over 45 years international clinical experience of Prof. Abrahams and over 100 of his colleagues worldwide who have contributed to this unique collection of clinical anatomy images.                ",https://1lib.in/dl/5328475/863cd2,425,Elsevier,2019,english,"PDF, 134.89 MB"
Larsen's Human Embryology,Gary C. Schoenwolf,https://covers.zlibcdn2.com/covers100/books/b9/35/d6/b935d6b99072ad990b6e528fdd56a588.jpg,"
                    Larsen's Human Embryology works as a well-organized, straightforward guide to this highly complex subject, placing an emphasis on the clinical application of embryology and presenting it in an easily digestible manner. Ideal for visual students, this updated medical textbook includes a superior art program, brand-new online animations, and high-quality images throughout; clear descriptions and explanations of human embryonic development, based on all of the most up-to-date scientific discoveries and understanding, keep you abreast of the latest knowledge in the field.                ",https://1lib.in/dl/2664768/73f69f,526,Churchill Livingstone,2014,english,"PDF, 66.70 MB"
Human anatomy & physiology,Elaine Nicpon Marieb,https://covers.zlibcdn2.com/covers100/books/0d/dd/32/0ddd32e917fc3200204bf3cc8f2e742a.jpg,"
                    1. The Human Body: An Orientation 2. Chemistry Comes Alive 3. Cells: The Living Units 4. Tissue: The Living Fabric  5. The Integumentary System 6. Bones and Skeletal Tissues 7. The Skeleton 8. Joints 9. Muscles and Muscle Tissue 10. The Muscular System 11. Fundamentals of the Nervous System and Nervous Tissue 12. The Central Nervous System  13. The Peripheral Nervous System and Reflex Activity 14. The Autonomic Nervous System 15. The Special Senses 16. The Endocrine System 17. Blood 18. The Cardiovascular System: The Heart 19. The Cardiovascular System: Blood Vessels 20. The Lymphatic System and Lymphoid Organs and Tissues  21. The Immune System: Innate and Adaptive Body Defensives 22. The Respiratory System 23. The Digestive System 24. Nutrition, Metabolism, and Body Temperature Regulation 25. The Urinary System 26. Fluid, Electrolyte, and Acid-Base Balance 27. The Reproductive System 28. Pregnancy and Human Development 29. Heredity                ",https://1lib.in/dl/2039917/519065,1270,Pearson,2013,english,"PDF, 103.12 MB"
