title,author,image,desc,download_link,pages,publisher,year,language,file
Principles of Geotechnical Engineering,Braja M. Das,https://covers.zlibcdn2.com/covers100/books/62/b4/d0/62b4d0f9455aed49b7cfbe8ea91506f1.jpg,Unknown,https://1lib.in/dl/3515148/1bb8c6,845,Cengage,2018,english,"PDF, 46.81 MB"
Engineering Geology,Subinoy Gangopadhyay,https://covers.zlibcdn2.com/covers100/books/a5/f7/91/a5f791065192a86df8fc651c9eb86432.jpg,"
                    The book begins with a discussion on basic geological aspects related to rocks and minerals, geological structures, soil formation and soil classification, underground water, aerial photo study & remote sensing and geophysical and drilling exploration. This is followed by critical engineering geology topics such as soil and rock mechanics, methods of site investigation for civil engineering projects with detailed coverage for dams, reservoirs, tunnels, powerhouses, bridges, canals, power channels, and flumes, search for construction materials, treatment of geological defects, assessment and mitigation of natural hazards, and evaluation of karstic limestone terrains for reservoir projects.                ",https://1lib.in/dl/2950507/4f557c,624,Oxford University Press,2013,english,"PDF, 24.82 MB"
Civil engineering hydraulics: essential theory with worked examples,R. E. Featherstone,https://covers.zlibcdn2.com/covers100/books/9f/06/51/9f06512bb06a4cd10892149edca3bd20.jpg,"
                    The text provides an introduction to the theory of civil engineering hydraulics, backed up with a large number of worked examples and exercise problems, with answers, to help readers assess their understanding of the theory and methods of analysis and design. This revised edition features more information on uniform and non-uniform flow, sluice gates and some basic culvert flow problems.                ",https://1lib.in/dl/600624/f1d07f,409,Blackwell Science,1995,english,"PDF, 10.69 MB"
"Geotechnical Engineering: Soil and Foundation Principles and Practice, 5th Ed.",Richard Handy,https://covers.zlibcdn2.com/covers100/books/db/72/84/db7284a32981fa214fa27bae162642fe.jpg,"
Master the Latest Developments in Soil Testing and  New Applications of Geotechnical Engineering Geotechnical Engineering: Principles and Practices offers students and practicing engineers a concise, easy-to-understand approach to the principles and methods of soil and geotechnical engineering. This updated classic builds from basic principles of soil mechanics and applies them to new topics, including mechanically stabilized earth (MSE), and intermediate foundations. This Fifth Edition features: Over 400 detailed illustrations and photographs Unique background material on the geological, pedological, and  mineralogical aspects of soils with emphasis on clay mineralogy, soil structure, and expansive and collapsible soils. New coverage of mechanically stabilized earth (MSE); intermediate foundations; in-situ soil testing: statistical analysis of data; “FORE,” a scientific method for analyzing settlement; writing the geotechnical report; and the geotechnical engineer as a sleuth and expert witness. Get Quick Access to Every Soil and Geotechnical Engineering Topic • Igneous Rocks as Ultimate Sources for Soils • The Soil Profile • Soil Minerals • Particle Size and Gradation • Soil Fabric and Soil Structure • Soil Density and Unit Weight • Soil Water • Soil Consistency and Engineering Classification • Compaction • Seepage • Stress Distribution • Settlement • Shear Strength • Lateral Stress and Retaining Walls • MSE Walls and Soil Nailing • Slope Stability, Landslides, Embankments, and Earth Dams • Bearing Capacity of Shallow Foundations • Deep Foundations • Intermediate Foundations • Loads on Pipes • In-Situ Testing • Introduction to Soil Dynamics • The Geotechnical Report                ",https://1lib.in/dl/2574630/e2bc3d,904,McGraw-Hill Education,2007,english,"PDF, 16.49 MB"
Geotechnical Investigation Methods: A Field Guide for Geotechnical Engineers,Roy E. Hunt,https://covers.zlibcdn2.com/covers100/books/00/e9/65/00e96551f3fb59f717a5f8157d7c3318.jpg,"
                    The investigation phase is the most important segment of any geotechnical study. Using the correct methods and properly interpreting the results are critical to a successful investigation. Comprising chapters from the second edition of the revered Geotechnical Engineering Investigation Handbook, Geotechnical Investigation Methods offers clear, concise, and hands-on guidance for choosing and executing a variety of field investigations.
This practical guide provides an affordable alternative to larger handbooks and condenses the essential elements of a geotechnical investigation into an easily digestible and readily accessible format. Renowned expert Roy E. Hunt discusses preliminary study to predict geologic conditions, applying information from geologic and topographic maps as well as remotely sensed imagery, proper test boring procedures, the various geophysical methods and when each is appropriate, and a variety of methods for determining materials' engineering properties in the lab and in situ. Hunt also covers field instrumentation for surface movements, subsurface deformations, and in situ pressures and stresses, as well as instrument arrays for typical problems such as structure settlement and fault movements.
Eliminate the need to search through narrow volumes or large handbooks with Geotechnical Investigation Methods: A Field Guide for Geotechnical Engineers, a convenient and complete guide to the techniques you need.                ",https://1lib.in/dl/739769/6d9537,352,CRC Press,2006,english,"PDF, 12.12 MB"
Soil Mechanics in Engineering Practice,Karl Terzaghi,https://covers.zlibcdn2.com/covers100/books/a2/0d/4e/a20d4e3323b4225931630e63f7f73e07.jpg,"
                    This book is one of the best-known and most respected books in geotechnical engineering. In its third edition, it presents both theoretical and practical knowledge of soil mechanics in engineering. It features expanded coverage of vibration problems, mechanics of drainage, passive earth pressure, and consolidation.                ",https://1lib.in/dl/1289755/6365d4,592,Wiley-Interscience,1996,english,"PDF, 52.49 MB"
Water Chemistry: An Introduction to the Chemistry of Natural and Engineered Aquatic Systems  ,Patrick Brezonik,https://covers.zlibcdn2.com/covers100/books/06/06/27/0606272007e1f228949f5d334bb31316.jpg,"
                    Water Chemistry provides students with the tools necessary to understand the processes that control the chemical species present in waters of both natural and engineered systems. After providing basic information about water itself and the chemical composition of water in environmental systems, the text covers the necessary theory (thermodynamics, activity, and kinetics) and background material to solve problems. It emphasizes that both equilibrium and kinetic processes are important in aquatic systems. The book does not merely focus on inorganic constituents, but also on the fate and reactions of organic chemicals.The solving of quantitative equilibrium and kinetic problems using mathematical, graphical, and computational tools is emphasized throughout presentations on acid-base chemistry, complexation of metal ions, solubility of minerals, and oxidation-reduction reactions. The use of these problem-solving tools is then extended in the presentation of topics relevant to natural systems, including dissolved oxygen, nutrient chemistry, geochemical controls on chemical composition, photochemistry, and natural organic matter. The kinetics and equilibria relevant to engineered systems (e.g., chlorination and disinfection chemistry, sorption and surface chemistry) and organic contaminant chemistry are also discussed. Numerous in-chapter examples that show the application of theory and demonstrate how problems are solved using algebraic, graphical, and computer-based techniques are included. Examples are relevant to both natural waters and engineered systems.                ",https://1lib.in/dl/1161974/a4e0fe,809,"Oxford University Press, USA",2011,english,"PDF, 4.63 MB"
"3D Printed Science Projects: Physics, Math, Engineering and Geology Models",Joan Horvath,https://covers.zlibcdn2.com/covers100/books/15/ad/57/15ad57105ae548fa1ef373e754edc620.jpg,"
                    Learn physics, engineering, and geology concepts usually seen in high school and college in an easy, accessible style.
This second volume addresses these topics for advanced science fair participants or those who just like reading about and understanding science. 3D Printed Science Project Volume 2 describes eight open-source 3D printable models, as well as creative activities using the resulting 3D printed pieces. The files are designed to print as easily as possible, and the authors give tips for printing them on open source printers.
As 3D printers become more and more common and affordable, hobbyists, teachers, parents, and students stall out once they've printed some toys and a few household items. To get beyond this, most people benefit from a “starter set” of objects as a beginning point in their explorations, partially just to see what is possible. This book tells you the solid science stories that these models offer, and provides them in open-source repositories.

What You Will Learn
• Create (and present the science behind) 3D printed models
• Review innovative ideas for tactile ways to learn concepts in engineering, geology and physics
• Learn what makes a models easy or hard to 3D print

Who This Book Is For
The technology- squeamish teacher and parents who want their kids to learn something from their 3D printer but don’t know how, as well as high schoolers and undergraduates.                ",https://1lib.in/dl/2940428/08e19e,204,Apress,2017,english,"PDF, 5.45 MB"
Rock Slope Engineering: Civil and Mining,Duncan C. Wyllie,https://covers.zlibcdn2.com/covers100/books/7b/fb/59/7bfb596278aa7300392ce36747a10ff4.jpg,Unknown,https://1lib.in/dl/594296/767e19,456,Spon Press,2004,english,"PDF, 8.94 MB"
Fundamentals of Drilling Engineering,Mitchell R.F.,https://covers.zlibcdn2.com/covers100/books/b9/69/08/b96908d8cdd91d5fa76450c9d0d60b39.jpg,"
                    Society of Petroleum Engineers, 2011. — 710 p. — (SPE Textbook Series, Vol. 12). — ISBN 978-1-55563-338-7.This textbook, an update of the classic Applied Drilling Engineering volume (Textbook Series Vol. 2), takes a new look at the basics of drilling engineering. Chapters are written by experts from industry and academia and provide numerous example problems to reinforce the concepts presented. This book is essential for undergraduate and graduate students, as well as industry professionals trying to gain detailed knowledge of basic drilling concepts. Introduction to rotary drilling Introduction to geomechanics in drilling Drilling fluidss Cementing Drilling hydraulics Rotary drilling bits Casing design Directional drilling Fundamentals of drillstring design Drilling problemsAbout the Authors:Robert F. Mitchell is a Halliburton Fellow in the Drilling and Evaluation Division of Halliburton. Previously, he was vice president of Enertech Engineering and Research Company from 1980 to 1996 and worked at Exxon Production Research Co from 1973 to 1980. Mitchell has published more than 80 papers on wellbore and well completion problems. He edited the Drilling Engineering volume of SPEs 2007 Petroleum Engineering Handbook and is currently lead editor for the SPE textbook Fundamentals of Drilling Engineering. He has served as a technical editor for several peer-reviewed journals and served as the Executive Editor of SPE Drilling & Completion. Mitchell holds BA, MME, and PhD degrees from Rice University. He was the recipient of the 2005 SPE Drilling Engineering Award.Stefan Z. Miska is currently Jonathan Detwiler Endowed Chair Professor of Petroleum Engineering and Director of Tulsa University Drilling Research Projects (TUDRP) at The University of Tulsa (TU). He obtained his M.S. and Ph.D. degrees from the University of Mining and Metallurgy in Cracow, Poland. Over the years, he has taught at his Alma Mater, at the Norwegian Institute of Technology and New Mexico Tech. In 1992 he joined TU as Chair of its P.E. Department. Miska published over 160 technical papers and contributed to several books. His current research interests are focused on wellbore hydraulics, mechanics of tubulars and directional drilling. He is involved with the SPE in many ways; he has served as Technical Editor for Drilling and Completion and is a member of the Drilling and Completion Advisory Committee. He was also the recipient of the 2000 Distinguished Petroleum Engineering Faculty, 2003 Outstanding Technical Editor and the 2004 Drilling Engineering awards. Miska also serves on the JPT Editorial Committee.                ",https://1lib.in/dl/3196814/fa9838,Unknown,Unknown,Unknown,english,"PDF, 9.73 MB"
