title,author,image,desc,download_link,pages,publisher,year,language,file
Mathematical physics (Mathematical Methods for Physical Science),Derek Raine,https://covers.zlibcdn2.com/covers100/books/84/20/95/842095bcdcf5a8891257be043a10980d.jpg,"
                    The book differs from other introduction to mathematical methods
at this level in several important areas.
First, it does not follow the usual presentation of a description of
the theory followed by examples and exercises. Rather we use examples
to introduce the theory. This approach is not new; it goes back
to the methods by which the scribes of Ancient Babylon learned
mathematics: by example problems and, to judge from the numbers
of surviving cuneiform tablets, lots of them!
Second, to help the reader digest the text, it is broken up into
quite short sections (often a page or so) followed by exercises. It may
be tempting to skip the exercises, (especially if one is used to doing
only a selection of “end-of-chapter” problems) on the grounds that
one can get through the book more quickly that way. This is true, in
the same sense that watching a film speeded up x8 will get to the end
more quickly, but it will be without much understanding of the plot.
There are optional additional exercises at the end of each chapter;
the ones in the text represent the minimum we think you need.
Third, however, we have tried to avoid too many “plug-andchug”
exercises, that is, exercises which you solve by following the
text but substituting some different numbers (“pattern matching”).
These are useful to reinforce memory, but they are not very useful
to develop or test understanding. Rather, we have tried to make the
exercises diagnostic in the sense that they do test understanding,
that is, they test the ability to use what has been learned in a slightly
different context. An instructor can therefore use these to target
support for students.

Finally, and related to the previous point, while we hope it is perfectly possible to use this book for self-study, it was not designed for that purpose. It is intended for use as a course text. In this regard it might be useful to say a little about the background to the writing of the book - especially if you are intrigued to know why there are so many authors. We would also like to thank contributions to various versions of the text from Paul Abel, Mike Dampier, Andrew King, and Tim Yeoman.
About forty years ago, it was agreed that our conventional
presentation of mathematical methods for our physics students -
lectures, marked homework,and examinations - was not as effective as we might have hoped. So, instead of spending lecture time going through theory and exercises on the board, we produced a text as, in effect, the lecture notes, and refocused class time on weekly workshops and small group tutorials. Lectures were restricted to a weekly one-hour introduction to the topics for that week. We made the examinations harder, by requiring passes separately in the major topics
(calculus of one variable, many variables, linear algebra, differential equations, vector calculus) and the pass rates soared. The initial text has been refined over the years (hence the number of authors) and this book is another, more outward-facing version, which we are pleased to have the opportunity to share with you.                ",https://1lib.in/dl/3700884/72d2f1,544,Mercury Learning and Information LLC,2019,english,"PDF, 11.08 MB"
Assistive Technologies for Physical and Cognitive Disabilities,Lau Bee Theng,https://covers.zlibcdn2.com/covers100/books/de/14/bf/de14bfd535918a0d9929e50e4f574296.jpg,"
                    Research on assistive technologies is undergoing many developments in its effectiveness in helping those with varying impairments. New technologies are constantly being created, researched, and implemented for those who need these technological aides in daily life.

Assistive Technologies for Physical and Cognitive Disabilities combines worldwide cases on people with physical and cognitive disabilities with the latest applications in assistive technologies. This reference work brings different researchers together under one title to discuss current findings, developments, and ongoing research in the area of rehabilitative technology. This reference book is of critical use to professionals, researchers, healthcare practitioners, caretakers, academicians, and students.                ",https://1lib.in/dl/2483981/17f3c3,Unknown,Medical Information Science Reference,2015,english,"PDF, 27.65 MB"
Physics for Electronics Engineering and Information Science,S. Salivahanan,https://covers.zlibcdn2.com/covers100/books/cc/b1/54/ccb1542c907e57f184e5604de8fe2546.jpg,Unknown,https://1lib.in/dl/5482764/0876ec,Unknown,McGraw-Hill Education,2018,english,"PDF, 6.18 MB"
Mathematical methods for the physical sciences : an informal treatment for students of physics and engineering,K  F Riley,https://covers.zlibcdn2.com/covers100/books/26/44/c2/2644c2054b9c6af9bd56a52a6c765b59.jpg,"
                    Many students of physical and applied science and of engineering find difficulty in copying with the mathematics necessary for the quantitative manipulation of the physical concepts they are atudying in their main course. This book is designed to help first and second year under-graduates at universities and polytechnics, as well as technical college students, to find their feet in the important mathematical methods they will need. Throughout the text the physical relevance of the mathematics is constantly stressed and, where it is helpful, use has been made of pictorial mathematics and qualitative verbal descriptions instead of over-compact mathematical symbolism. Topics are presented in three stages: a qualitative introduction, a more formal presentation and an explicit check or worked example. There are many exercises included in the text which are aimed at testing a student's understanding and building his confidence progressively throughout each piece of work                ",https://1lib.in/dl/2031066/eefd31,549,Cambridge University Press,1974,english,"PDF, 14.04 MB"
"Nuclear Science: Nuclear Production of Hydrogen Fourth Information Exchange Meeting, Oakbrook, Illinois, USA, 14-16 April 2009",Organization for Economic Cooperation an,https://covers.zlibcdn2.com/covers100/books/b3/82/83/b382830a2dd405f3ba7f090784f8df7f.jpg,Unknown,https://1lib.in/dl/927241/996c85,468,Organization for Economic Cooperation & Devel,2010,english,"PDF, 18.54 MB"
Mathematical methods for the physical sciences : an informal treatment for students of physics and engineering,Riley K.F.,https://covers.zlibcdn2.com/covers100/books/ed/b6/b4/edb6b48b7d12e7b982837348accc6889.jpg,"
                    Many students of physical and applied science and of engineering find difficulty in copying with the mathematics necessary for the quantitative manipulation of the physical concepts they are atudying in their main course. This book is designed to help first and second year under-graduates at universities and polytechnics, as well as technical college students, to find their feet in the important mathematical methods they will need. Throughout the text the physical relevance of the mathematics is constantly stressed and, where it is helpful, use has been made of pictorial mathematics and qualitative verbal descriptions instead of over-compact mathematical symbolism. Topics are presented in three stages: a qualitative introduction, a more formal presentation and an explicit check or worked example. There are many exercises included in the text which are aimed at testing a student's understanding and building his confidence progressively throughout each piece of work                ",https://1lib.in/dl/1315076/25be18,549,Cambridge University Press,1974,english,"DJVU, 3.11 MB"
Discrete Mathematics and Its Applications,Kenneth Rosen,https://covers.zlibcdn2.com/covers100/books/57/a3/cb/57a3cbe95c769f07e5aa01bb60210ac4.jpg,Unknown,https://1lib.in/dl/3674261/d2d151,1118,McGraw-Hill Higher Education,2018,english,"PDF, 35.04 MB"
"Schaums Outline of Discrete Mathematics, Revised Third Edition",Seymour Lipschutz,https://covers.zlibcdn2.com/covers100/books/da/38/a2/da38a23b33001e9d2fa5d6679a0d51ef.jpg,"
                    Confusing Textbooks? Missed Lectures? Not Enough Time? Fortunately for you, theres Schaums Outlines. More than 40 million students have trusted Schaums to help them succeed in the classroom and on exams. Schaums is the key to faster learning and higher grades in every subject. Each Outline presents all the essential course information in an easy-to-follow, topic-by-topic format. You also get hundreds of examples, solved problems, and practice exercises to test your skills. This Schaums Outline gives you: Practice problems with full explanations that reinforce knowledge Coverage of the most up-to-date developments in your course field In-depth review of practices and applications Fully compatible with your classroom text, Schaums highlights all the important facts you need to know. Use Schaums to shorten your study time-and get your best test scores!                ",https://1lib.in/dl/1154286/21658d,496,McGraw-Hill,2009,english,"PDF, 4.03 MB"
Discrete Mathematics with Applications,Susanna S. Epp,https://covers.zlibcdn2.com/covers100/books/a0/4b/23/a04b233eab169ff02687890cb02b5599.jpg,Unknown,https://1lib.in/dl/3707224/e0fee0,1057,Cengage Learning,2019,English,"PDF, 19.81 MB"
Discrete Fourier Analysis and Wavelets: Applications to Signal and Image Processing,S. Allen Broughton,https://covers.zlibcdn2.com/covers100/books/b3/bf/1e/b3bf1efd60e63d45d4502ef02ec81237.jpg,"
Delivers an appropriate mix of theory and applications to help readers understand the process and problems of image and signal analysisMaintaining a comprehensive and accessible treatment of the concepts, methods, and applications of signal and image data transformation, this Second Edition of Discrete Fourier Analysis and Wavelets: Applications to Signal and Image Processing features updated and revised coverage throughout with an emphasis on key and recent developments in the field of signal and image processing. Topical coverage includes: vector spaces, signals, and images; the discrete Fourier transform; the discrete cosine transform; convolution and filtering; windowing and localization; spectrograms; frames; filter banks; lifting schemes; and wavelets. Discrete Fourier Analysis and Wavelets introduces a new chapter on frames—a new technology in which signals, images, and other data are redundantly measured. This redundancy allows for more sophisticated signal analysis. The new coverage also expands upon the discussion on spectrograms using a frames approach. In addition, the book includes a new chapter on lifting schemes for wavelets and provides a variation on the original low-pass/high-pass filter bank approach to the design and implementation of wavelets. These new chapters also include appropriate exercises and MATLAB® projects for further experimentation and practice. • Features updated and revised content throughout, continues to emphasize discreteand digital methods, and utilizes MATLAB® to illustrate these concepts • Contains two new chapters on frames and lifting schemes, which take into account crucial new advances in the field of signal and image processing • Expands the discussion on spectrograms using a frames approach, which is an ideal method for reconstructing signals after information has been lost or corrupted (packet erasure) • Maintains a comprehensive treatment of linear signal processing for audio and image signals with a well-balanced and accessible selection of topics that appeal to a diverse audience within mathematics and engineering • Focuses on the underlying mathematics, especially the concepts of finite-dimensional vector spaces and matrix methods, and provides a rigorous model for signals and images based on vector spaces and linear algebra methods • Supplemented with a companion website containing solution sets and software exploration support for MATLAB and SciPy (Scientific Python) Thoroughly class-tested over the past fifteen years, Discrete Fourier Analysis and Wavelets: Applications to Signal and Image Processing is an appropriately self-contained book ideal for a one-semester course on the subject.S. Allen Broughton, PhD, is Professor Emeritus of Mathematics at Rose-Hulman Institute of Technology. Dr. Broughton is a member of the American Mathematical Society (AMS) and the Society for the Industrial Applications of Mathematics (SIAM), and his research interests include the mathematics of image and signal processing, and wavelets. Kurt Bryan, PhD, is Professor of Mathematics at Rose-Hulman Institute of Technology. Dr. Bryanis a member of MAA and SIAM and has authored over twenty peer-reviewed journal articles.   Kurt Bryan, PhD, is Professor of Mathematics at Rose-Hulman Institute of Technology. Dr. Bryanis a member of MAA and SIAM and has authored over twenty peer-reviewed journal articles.Maintaining a comprehensive and accessible treatment of the concepts, methods, and applications of signal and image data transformation, this Second Edition of Discrete Fourier Analysis and Wavelets: Applications to Signal and Image Processing features updated and revised coverage throughout with an emphasis on key and recent developments in the field of signal and image processing. Topical coverage includes: vector spaces, signals, and images; the discrete Fourier transform; the discrete cosine transform; convolution and filtering; windowing and localization; spectrograms; frames; filter banks; lifting schemes; and wavelets. Discrete Fourier Analysis and Wavelets introduces a new chapter on frames—a new technology in which signals, images, and other data are redundantly measured. This redundancy allows for more sophisticated signal analysis. The new coverage also expands upon the discussion on spectrograms using a frames approach. In addition, the book includes a new chapter on lifting schemes for wavelets and provides a variation on the original low-pass/high-pass filter bank approach to the design and implementation of wavelets. These new chapters also include appropriate exercises and MATLAB® projects for further experimentation and practice. • Features updated and revised content throughout, continues to emphasize discrete and digital methods, and utilizes MATLAB® to illustrate these concepts • Contains two new chapters on frames and lifting schemes, which take into account crucial new advances in the field of signal and image processing • Expands the discussion on spectrograms using a frames approach, which is an ideal method for reconstructing signals after information has been lost or corrupted (packet erasure) • Maintains a comprehensive treatment of linear signal processing for audio and image signals with a well-balanced and accessible selection of topics that appeal to a diverse audience within mathematics and engineering • Focuses on the underlying mathematics, especially the concepts of finite-dimensional vector spaces and matrix methods, and provides a rigorous model for signals and images based on vector spaces and linear algebra methods • Supplemented with a companion website containing solution sets and software exploration support for MATLAB and SciPy (Scientific Python) Thoroughly class-tested over the past fifteen years, Discrete Fourier Analysis and Wavelets: Applications to Signal and Image Processing is an appropriately self-contained book ideal for a one-semester course on the subject. S. Allen Broughton, PhD, is Professor Emeritus of Mathematics at Rose-Hulman Institute of Technology. Dr. Broughton is a member of the American Mathematical Society (AMS) and the Society for the Industrial Applications of Mathematics (SIAM), and his research interests include the mathematics of image and signal processing, and wavelets. Kurt Bryan, PhD, is Professor of Mathematics at Rose-Hulman Institute of Technology. Dr. Bryan is a member of MAA and SIAM and has authored over twenty peer-reviewed journal articles.a comprehensive and accessible treatment of the concepts, methods, and applications of signal and image data transformation, this Second Edition of Discrete Fourier Analysis and Wavelets: Applications to Signal and Image Processing features updated and revised coverage throughout with an emphasis on key and recent developments in the field of signal and image processing. Topical coverage includes: vector spaces, signals, and images; the discrete Fourier transform; the discrete cosine transform; convolution and filtering; windowing and localization; spectrograms; frames; filter banks; lifting schemes; and wavelets. Discrete Fourier Analysis and Wavelets introduces a new chapter on frames—a new technology in which signals, images, and other data are redundantly measured. This redundancy allows for more sophisticated signal analysis. The new coverage also expands upon the discussion on spectrograms using a frames approach. In addition, the book includes a new chapter on lifting schemes for wavelets and provides a variation on the original low-pass/high-pass filter bank approach to the design and implementation of wavelets. These new chapters also include appropriate exercises and MATLAB® projects for further experimentation and practice. • Features updated and revised content throughout, continues to emphasize discrete and digital methods, and utilizes MATLAB® to illustrate these concepts • Contains two new chapters on frames and lifting schemes, which take into account crucial new advances in the field of signal and image processing • Expands the discussion on spectrograms using a frames approach, which is an ideal method for reconstructing signals after information has been lost or corrupted (packet erasure) • Maintains a comprehensive treatment of linear signal processing for audio and image signals with a well-balanced and accessible selection of topics that appeal to a diverse audience within mathematics and engineering • Focuses on the underlying mathematics, especially the concepts of finite-dimensional vector spaces and matrix methods, and provides a rigorous model for signals and images based on vector spaces and linear algebra methods • Supplemented with a companion website containing solution sets and software exploration support for MATLAB and SciPy (Scientific Python) Thoroughly class-tested over the past fifteen years, Discrete Fourier Analysis and Wavelets: Applications to Signal and Image Processing is an appropriately self-contained book ideal for a one-semester course on the subject. S. Allen Broughton, PhD, is Professor Emeritus of Mathematics at Rose-Hulman Institute of Technology. Dr. Broughton is a member of the American Mathematical Society (AMS) and the Society for the Industrial Applications of Mathematics (SIAM), and his research interests include the mathematics of image and signal processing, and wavelets. Kurt Bryan, PhD, is Professor of Mathematics at Rose-Hulman Institute of Technology. Dr. Bryan is a member of MAA and SIAM and has authored over twenty peer-reviewed journal articles.                ",https://1lib.in/dl/3496680/ea95da,Unknown,Wiley,2018,english,"PDF, 7.69 MB"
