title,author,image,desc,download_link,pages,publisher,year,language,file
"Analysis and Design of Analog Integrated Circuits, 5th edition",Paul R. Gray,https://covers.zlibcdn2.com/covers100/books/c3/ae/23/c3ae234eb5ba8bfc4c93708dfcb709ed.jpg,"
                    This is the only comprehensive book in the market for engineers that covers the design of CMOS and bipolar analog integrated circuits. The fifth edition retains its completeness and updates the coverage of bipolar and CMOS circuits.  A thorough analysis of a new low-voltage bipolar operational amplifier has been added to Chapters 6, 7, 9, and 11.  Chapter 12 has been updated to include a fully differential folded cascode operational amplifier example. With its streamlined and up-to-date coverage, more engineers will turn to this resource to explore key concepts in the field.                ",https://1lib.in/dl/1270393/c482ac,895,John Wiley & Sons Inc,2009,english,"PDF, 55.70 MB"
Introductory Circuit Analysis,Robert L. Boylestad,https://covers.zlibcdn2.com/covers100/books/89/38/4c/89384c14da61e22622cb377863222eb0.jpg,"
 For courses in DC/AC circuits: conventional flow      The Latest Insights in Circuit Analysis     Introductory Circuit Analysis, the number one acclaimed text in the field for over three decades, is a clear and interesting information source on a complex topic. The Thirteenth Edition contains updated insights on the highly technical subject, providing readers with the most current information in circuit analysis. With updated software components and challenging review questions at the end of each chapter, this text engages readers in a profound understanding of Circuit Analysis.  ",https://1lib.in/dl/3515263/a3ff99,Unknown,Pearson,2016,english,"PDF, 37.64 MB"
Schaum's Outline of Theory and Problems of Basic Circuit Analysis,John O'Malley,https://covers.zlibcdn2.com/covers100/books/0d/b0/27/0db027231f189f4af9ca4f689b5a2927.jpg,"
                    For improved comprehension of circuit analysis, less time spent studying, and better test scores, you can't do better than this powerful Schaum's Outline! It's the best study tool there is. It gives you hundreds of completely worked problems with full solutions on the information that you really need to know. Hundreds of additional problems let you test your skills, then check the answers. This comprehensive study guide can be used with any textbook, but it's so complete it's ideal for independent study!                ",https://1lib.in/dl/464024/7c4055,433,McGraw-Hill,1992,english,"PDF, 20.28 MB"
Microelectronics Circuit Analysis and Design  ,Donald A. Neamen,https://covers.zlibcdn2.com/covers100/books/e3/9c/4c/e39c4cb1ff78b7702f31352261bcac20.jpg,"
                    Microelectronics: Circuit Analysis and Design is intended as a core text in electronics for undergraduate electrical and computer engineering students. The fourth edition continues to provide a foundation for analyzing and designing both analog and digital electronic circuits. The goal has always been to make this book very readable and student friendly.    An accessible approach to learning through clear writing and practical pedagogy has become the hallmark of Microelectronics: Circuit Analysis and Design by Donald Neamen. Now in its fourth edition, the text builds upon its strong pedagogy and tools for student assessment with key updates as well as revisions that allow for flexible coverage of op-amps.                ",https://1lib.in/dl/1216946/871a09,1395,McGraw-Hill,2009,english,"PDF, 109.85 MB"
Digital Circuit Analysis and Design with SIMULINK Modeling: And Introduction to CPLDs and FPGAs,Karris S. T.,https://covers.zlibcdn2.com/covers100/books/be/c6/9f/bec69feeb55746a0f23e9c54da8e6474.jpg,Unknown,https://1lib.in/dl/489046/b90e07,541,Orchard Publications,2007,english,"PDF, 12.77 MB"
Circuit Analysis Demystified,David McMahon,https://covers.zlibcdn2.com/covers100/books/94/c8/e2/94c8e2ae599ee48b338bca721e8335d9.jpg,"
                    Here's the sure cure for CIRCUIT PARALYSIS!Need to learn circuit analysis but experiencing some resistance in your brain waves?  No stress! Circuit Analysis Demystified will give you the jolt you need to understand this complex subject—without getting your circuits crossed.In the first part of the book, you'll learn the fundamentals such as voltage and current theorems, Thevenin and Norton's theorems, op amp circuits, capacitance and inductance, and phasor analysis of circuits. Then you'll move on to more advanced topics including Laplace transforms, three-phase circuits, filters, Bode plots, and characterization of circuit stability. Featuring end-of-chapter quizzes and a final exam, this book will have you in a steady state when it comes to circuit analysis in no time at all.This fast and easy guide offers:• Numerous figures to illustrate key concepts• Sample equations with worked solutions• Coverage of Kirchhoff's laws, the superposition theorem, Millman's theorem, and delta-wye transformations• Quizzes at the end of each chapter to reinforce learning • A time-saving approach to performing better on an exam or at workSimple enough for a beginner, but challenging enough for an advanced student, Circuit Analysis Demystified will transform you into a master of this essential engineering subject. ",https://1lib.in/dl/511052/ca80b0,288,McGraw-Hill,2008,english,"PDF, 2.12 MB"
Engineering circuit analysis,William Hart Hayt,https://covers.zlibcdn2.com/covers100/books/ec/17/83/ec17836f54c92b4f53fe016d499c54a3.jpg,Unknown,https://1lib.in/dl/2050320/b5bdb1,880,McGraw-Hill ,2012,english,"PDF, 52.18 MB"
Circuit Analysis for Complete Idiots (Electrical Engineering for Complete Idiots),David Smith,https://covers.zlibcdn2.com/covers100/books/6e/26/e4/6e26e4b5ab6666089f94db1e98a66f02.jpg,Unknown,https://1lib.in/dl/5009339/976b37,165,Beyond Whyy,2019,english,"AZW3 , 5.26 MB"
CMOS Digital Integrated Circuits Analysis & Design,Sung-Mo (Steve) Kang,https://covers.zlibcdn2.com/covers100/books/cc/24/d0/cc24d04b80feac6ec726f8b415391a91.jpg,"
                    CMOS Digital Integrated Circuits: Analysis and Design is the most complete book on the market for CMOS circuits. Appropriate for electrical engineering and computer science, this book starts with CMOS processing, and then covers MOS transistor models, basic CMOS gates, interconnect effects, dynamic circuits, memory circuits, BiCMOS circuits, I/O circuits, VLSI design methodologies, low-power design techniques, design for manufacturability and design for testability.  This book provides rigorous treatment of basic design concepts with detailed examples. It typically addresses both the computer-aided analysis issues and the design issues for most of the circuit examples. Numerous SPICE simulation results are also provided for illustration of basic concepts. Through rigorous analysis of CMOS circuits in this text, students will be able to learn the fundamentals of CMOS VLSI design, which is the driving force behind the development of advanced computer hardware.                ",https://1lib.in/dl/906687/298783,683,WCB McGraw-Hill,2003,english,"PDF, 10.13 MB"
Engineering Circuit Analysis Solution Manual From chap 1 to Chap 12,William Hart Hayt,https://covers.zlibcdn2.com/covers100/books/c3/da/96/c3da962e568857372b9acd056e7c0200.jpg,"
                    The hallmark feature of this classic text is its focus on the student - it is written so that students may teach the science of circuit analysis to themselves. Terms are clearly defined when they are introduced, basic material appears toward the beginning of each chapter and is explained carefully and in detail, and numerical examples are used to introduce and suggest general results. Simple practice problems appear throughout each chapter, while more difficult problems appear at the ends of chapters, following the order of presentation of text material. This introduction and resulting repetition provide an important boost to the learning process. Hayt's rich pedagogy supports and encourages the student throughout by offering tips and warnings, using design to highlight key material, and providing lots of opportunities for hands-on learning. The thorough exposition of topics is delivered in an informal way that underscores the authors' conviction that circuit analysis can and should be fun.                ",https://1lib.in/dl/914090/a1bce7,800,McGraw-Hill Higher Education,2006,english,"PDF, 13.29 MB"
