title,author,image,desc,download_link,pages,publisher,year,language,file
Electronic Devices and Circuit Theory (11th Edition),Robert L. Boylestad,https://covers.zlibcdn2.com/covers100/books/1f/ec/99/1fec9964c4c69b9aedb545bc50eff5de.jpg,Unknown,https://1lib.in/dl/2369321/e4ef13,927,Prentice Hall,2012,english,"PDF, 25.92 MB"
Electrical Circuit Theory and Technology,John Bird,https://covers.zlibcdn2.com/covers100/books/fe/81/aa/fe81aa6f6d11c07b98342d7c49e72f5d.jpg,"
                    A fully comprehensive text for courses in electrical principles, circuit theory and electrical technology, providing 800 worked examples and over 1,350 further problems for students to work through at their own pace. This book is ideal for students studying engineering for the first time as part of BTEC National and other pre-degree vocational courses, as well as Higher Nationals, Foundation Degrees and first-year undergraduate modules.                ",https://1lib.in/dl/2933697/27a762,859,Routledge,2017,english,"PDF, 35.32 MB"
Electronic devices and circuit theory,Boylestad,https://covers.zlibcdn2.com/covers100/books/86/51/13/8651138f5de699f67bf5779b28b5ce24.jpg,Unknown,https://1lib.in/dl/3553271/7d237f,922,Pearson,2014,english,"PDF, 55.93 MB"
Schaum's Outline of Theory and Problems of Basic Circuit Analysis,John O'Malley,https://covers.zlibcdn2.com/covers100/books/0d/b0/27/0db027231f189f4af9ca4f689b5a2927.jpg,"
                    For improved comprehension of circuit analysis, less time spent studying, and better test scores, you can't do better than this powerful Schaum's Outline! It's the best study tool there is. It gives you hundreds of completely worked problems with full solutions on the information that you really need to know. Hundreds of additional problems let you test your skills, then check the answers. This comprehensive study guide can be used with any textbook, but it's so complete it's ideal for independent study!                ",https://1lib.in/dl/464024/5cf303,433,McGraw-Hill,1992,english,"PDF, 20.28 MB"
Digital Circuit Analysis and Design with SIMULINK Modeling: And Introduction to CPLDs and FPGAs,Karris S. T.,https://covers.zlibcdn2.com/covers100/books/be/c6/9f/bec69feeb55746a0f23e9c54da8e6474.jpg,Unknown,https://1lib.in/dl/489046/9af3e0,541,Orchard Publications,2007,english,"PDF, 12.77 MB"
Instructors Solution Manual Electronic Devices and Circuit Theory,Robert L. Boylestad,https://covers.zlibcdn2.com/covers100/books/57/5b/69/575b69dae2e61887ea53288c7a8df4d3.jpg,Unknown,https://1lib.in/dl/3378467/f19609,213,Pearson Prentice Hall,2013,english,"PDF, 3.07 MB"
Schaum's Outline of Theory and Problems of Electric Circuits,Mahmood Nahvi,https://covers.zlibcdn2.com/covers100/books/87/48/d5/8748d574dc132c68bbfd57ff1135d311.jpg,"
                    This new edition of Schaum's Outline of Electric Circuits give readers a thorough foundation in the theory and operation of electric circuits. This bestselling outline combines brief descriptions of theory with illustrative examples, solved problems, and supplement problems to provide a direct and effective tool and methodology for learning.                ",https://1lib.in/dl/463779/3164de,481,McGraw-Hill,2002,english,"PDF, 6.23 MB"
Theory and Design of Electrical and Electronic Circuits,Tait E.,https://covers.zlibcdn2.com/covers100/books/35/a1/a9/35a1a909342ab15195aecbbb048a5210.jpg,"
                    Spent the years, the Electrical and Electronic technology has bloomed in white hairs; white technologically for much people and green socially for others.To who writes to them, it wants with this theoretical and practical book, to teach criteria of design with the experience of more than thirty years. I hope know to take advantage of it because, in truth, I offer its content without interest, affection and love by the fellow.                ",https://1lib.in/dl/491603/3f77f4,493,Unknown,Unknown,english,"PDF, 2.71 MB"
"Emc & the Printed Circuit Board: Design, Theory, & Layout Made Simple ",Mark I. Montrose,https://covers.zlibcdn2.com/covers100/books/3e/92/9e/3e929e2194110869d70a86709e86525f.jpg,"
                    ""...enables engineers to grasp both the fundamentals of EMC theory and the mitigation process necessary to prevent an EMC event...uses real-world examples and provides clear discussions without complex mathematical analysis.""                ",https://1lib.in/dl/563198/7b6d54,171,Wiley-IEEE Press,1998,english,"PDF, 17.03 MB"
"Electrical Circuit Theory and Technology, Fourth Edition",John Bird BSc (Hons)  CEng  CMath  CSci  FIET  MIEE  FIIE  FIMA  FCollT,https://covers.zlibcdn2.com/covers100/books/c2/ba/4c/c2ba4ce44a356b9b437c00e3f1350b55.jpg,"
                    A fully comprehensive text for courses in electrical principles, circuit theory, and electrical technology, providing 800 worked examples and over 1000 further problems for students to work through at their own pace. This book is ideal for students studying engineering for the first time as part of BTEC National and other pre-degree vocational courses (especially where progression to higher levels of study is likely), as well as Higher Nationals, Foundation Degrees and first year undergraduate modules. Now in its third edition, this best-selling textbook has been updated with developments in key areas such as semiconductors, transistors, and fuel cells, along with brand new material on ABCD parameters and Fourier's Analysis. Greater emphasis is placed on real-world situations in order to ensure the reader can relate the theory to actual engineering practice. In addition, the text has been restructured throughout so that 175 Exercises now appear at regular intervals, which the student can work through to test their learning of essential concepts and check their progress.                                       * New edition brought fully up to date with developments in key areas such as semiconductors, transistors, and fuel cells, containing brand new material on ABCD parameters and Fourier's Analysis.* Real-world examples maximise relevance to actual engineering practice for the student reader* Extensive Solutions Manual now available online (700 worked solutions)                ",https://1lib.in/dl/914872/ece6d9,753,Newnes,2010,english,"PDF, 57.06 MB"
