title,author,image,desc,download_link,pages,publisher,year,language,file
Information Technology Essentials for Behavioral Health Clinicians,Naakesh A. Dewan,https://covers.zlibcdn2.com/covers100/books/da/43/03/da430367d93dab707ccb1c8eb3ca7348.jpg,"
“Technology will drive behavioral health innovations in efficiency and quality, this book is great primer for clinicians, students, and decision makers on how to approach technology in behavioral health” David K. Nace M.D. Vice President, Clinical Development, McKesson Health Solutions, Philadelphia, PA, USA||Information Technology is only beginning to innovate and transform the practice and performance of clinicians in behavioral healthcare. Minimal investments in information technology research and development are fundamentally altering the lives of millions worldwide. This promise and future of behavioral informatics is outlined in the chapters that follow.||Information Technology Essentials for Behavioral Health Clinicians offers an overview the entire landscape of behavioral informatics, including practical technologies and discussions regarding privacy and security. Detailed discussions also focus on the clinician, their knowledge, care, and technology developments and tools. The book then goes on to review the technologies driven by the recipient of care and concludes with a section focusing on the organization and leaderships issues involved in transforming a behavioral health care organization into modern technology supported systems of care.||The world renowned editors have crafted a book in collaboration with nationally recognized experts in the field – physicians, psychologists, informatics executives, researchers, social workers, engineers, and sociologists – the diversity of perspectives bringing richness to the book and making it essential reading for students and faculty in departments of psychiatry, psychology, social work, other human service disciplines, and informatics departments. ",https://1lib.in/dl/895296/3891e5,213,Springer-Verlag London,2011,english,"PDF, 1.62 MB"
Information Technology Essentials for Behavioral Health Clinicians,Naakesh A. Dewan,https://covers.zlibcdn2.com/covers100/books/12/23/99/1223998ac113e6244a54a6f5e456c8ea.jpg,Unknown,https://1lib.in/dl/5925093/4a7791,213,Springer-Verlag London,2011,english,"PDF, 1.71 MB"
Modern Digital and Analog Communication Systems,B. P. Lathi,https://covers.zlibcdn2.com/covers100/books/c2/f4/7d/c2f47de45fb79fb8d8fc3d2ae1844b7a.jpg,"
                    Modern Digital and Analog Communication Systems is ideal for the first communication systems course for electrical and computer engineers; it offers its readers a consistently superb pedagogical style and explains complex subjects and concepts clearly, using both mathematics and heuristics. This new edition seamlessly incorporates many new technological advances in Lathi's trademark style of user-friendliness and high readability. The text begins by introducing students to a panoramic view of communication systems, explaining important concepts of communication theory in a heuristic way. Only after a solid introduction to basic communication systems is analysis of communication systems requiring probability and random processes presented. The authors use real world examples to capture the students' attention and enable them to easily relate the course materials with their daily experience of communication tools. The text features easy-to-understand examples and MatLab exercises to clarify mathematical results and proofs. Among the newly introduced topics are spread spectrum communications and orthogonal frequency devision multiplexing (OFDM), error connection coding, soft-decoding, turbo codes and low density parity check (LDPC) codes. To better motivate various topics, the text provides many related applications including the latest wire-line (DSL) services, cellular systems, and the wireless local area networks (LANs). This unique text is highly informative, interactive, and accessible to beginning students as well as seasoned practitioners. ",https://1lib.in/dl/3437214/1a980a,928,Oxford University Press,2009,english,"PDF, 29.48 MB"
Solutions Manual for Modern Digital and Analog Communication Systems,B.P. Lathi,https://covers.zlibcdn2.com/covers100/books/70/ab/90/70ab90296fda621cf5d61ac517853a78.jpg,Unknown,https://1lib.in/dl/843958/96c4a8,155,Unknown,Unknown,english,"PDF, 3.90 MB"
An Introduction to Analog and Digital Communications,Simon S. Haykin,https://covers.zlibcdn2.com/covers100/books/4b/6f/11/4b6f112804d2cf17b78d7adb663346c8.jpg,"
                    The second edition of this accessible book provides readers with an introductory treatment of communication theory as applied to the transmission of information-bearing signals. While it covers analog communications, the emphasis is placed on digital technology. It begins by presenting the functional blocks that constitute the transmitter and receiver of a communication system. Readers will next learn about electrical noise and then progress to multiplexing and multiple access techniques.                ",https://1lib.in/dl/5101846/654b2d,540,Wiley,2006,english,"PDF, 6.96 MB"
Modern Digital and Analog Communication Systems,Lathi and Ding,https://covers.zlibcdn2.com/covers100/books/1c/d4/df/1cd4dfdf783e33e179da5e148cd2bb49.jpg,Unknown,https://1lib.in/dl/2653810/4551bc,1029,Oxford University Press,2009,english,"PDF, 435.08 MB"
Analog and Digital Communications (Schaum's Outlines),Hwei P. Hsu,https://covers.zlibcdn2.com/covers100/books/f9/1a/f7/f91af71cf595ee1997835327cd7c5ce7.jpg,"
                    Confusing Textbooks? Missed Lectures? Not Enough Time?        Fortunately for you, there's Schaum's Outlines. More than 40 million students have trusted Schaum's to help them succeed in the classroom and on exams. Schaum's is the key to faster learning and higher grades in every subject. Each Outline presents all the essential course information in an easy-to-follow, topic-by-topic format. You also get hundreds of examples, solved problems, and practice exercises to test your skills.         This Schaum's Outline gives you        Practice problems with full explanations that reinforce knowledge    Coverage of the most up-to-date developments in your course field    In-depth review of practices and applications            Fully compatible with your classroom text, Schaum's highlights all the important facts you need to know. Use Schaum's to shorten your study time-and get your best test scores!        Schaum's Outlines-Problem Solved.                ",https://1lib.in/dl/2437348/8fff78,336,Unknown,2002,english,"DJVU, 6.71 MB"
Electromagnetics for High-Speed Analog and Digital Communication Circuits,Ali M. Niknejad,https://covers.zlibcdn2.com/covers100/books/45/07/74/45077479c3687abb9f2ea0656d822593.jpg,"
                    Modern communications technology demands smaller, faster and more efficient circuits. This book reviews the fundamentals of electromagnetism in passive and active circuit elements, highlighting various effects and potential problems in designing a new circuit. The author begins with a review of the basics - the origin of resistance, capacitance, and inductance - then progresses to more advanced topics such as passive device design and layout, resonant circuits, impedance matching, high-speed switching circuits, and parasitic coupling and isolation techniques. Using examples and applications in RF and microwave systems, the author describes transmission lines, transformers, and distributed circuits. State-of-the-art developments in Si based broadband analog, RF, microwave, and mm-wave circuits are reviewed. With up-to-date results, techniques, practical examples, illustrations and worked examples, this book will be valuable to advanced undergraduate and graduate students of electrical engineering, and practitioners in the IC design industry. Further resources for this title are available at www.cambridge.org/9780521853507.                ",https://1lib.in/dl/550887/c1dc48,466,Cambridge University Press,2007,english,"PDF, 4.16 MB"
Modern Digital And Analog Communications Systems,B. P. Lathi,https://covers.zlibcdn2.com/covers100/books/f6/d4/ed/f6d4ed8fbe20259955369bcfa9052123.jpg,"
                    Lathi's trademark user-friendly and highly readable text presents a complete and modern treatment of communication systems. It begins by introducing students to the basics of communication systems without using probabilistic theory. Only after a solid knowledge base--an understanding of how communication systems work--has been built are concepts requiring probability theory covered. This third edition has been thoroughly updated and revised to include expanded coverage of digital communications. New topics discussed include spread-spectrum systems, cellular communication systems, global positioning systems (GPS), and an entire chapter on emerging digital technologies (such as SONET, ISDN, BISDN, ATM, and video compression).
Ideal for the first communication systems course for electrical engineers, Modern Digital and Analog Communication Systems offers students a superb pedagogical style; it consistently does an excellent job of explaining difficult concepts clearly, using prose as well as mathematics. The author makes every effort to give intuitive insights--rather than just proofs--as well as heuristic explanations of theoretical results wherever possible. Featuring lucid explanations, well-chosen examples clarifying abstract mathematical results, and excellent illustrations, this unique text is highly informative and easily accessible to students.                ",https://1lib.in/dl/671852/2e77f0,399,"Oxford University Press, USA",1998,english,"PDF, 49.55 MB"
Analog and Digital Communication Systems,martin s roden,https://covers.zlibcdn2.com/covers100/books/cc/c8/94/ccc894bce2ed46a53f0e1ce3637f73db.jpg,Unknown,https://1lib.in/dl/639396/125f41,285,Prentice Hall PTR,1996,english,"PDF, 68.01 MB"
Communication systems (analog and digital),Sanjay Sharma,https://covers.zlibcdn2.com/covers100/books/3a/a2/ab/3aa2abf20d8b073c5fbe20935de5a35a.jpg,Unknown,https://1lib.in/dl/3554712/f05436,1175,S.K. Kataria & Sons,2013,english,"PDF, 44.38 MB"
