title,author,image,desc,download_link,pages,publisher,year,language,file
Principles of operations management sustainability and supply chain management,Heizer,https://covers.zlibcdn2.com/covers100/books/73/cf/6a/73cf6a3d05b6de229e3996ffe60f787c.jpg,Unknown,https://1lib.in/dl/3521666/814571,767,Pearson Education Limited,2017,english,"PDF, 93.35 MB"
Critical Care Medicine: Principles of Diagnosis and Management in the Adult,Joseph E. Parrillo,https://covers.zlibcdn2.com/covers100/books/08/ad/61/08ad61b04acd3d91eb29711eb0d148b0.jpg,"
                    Now completely revised to bring you up to date with the latest advances in the field, Critical Care Medicine: Principles of Diagnosis and Management in the Adult, 5th Edition, delivers expert, practical guidance on virtually any clinical scenario you may encounter in the ICU. Designed for intensivists, critical care and pulmonology residents, fellows, practicing physicians, and nurse practitioners, this highly regarded text is clinically focused and easy to reference. Led by Drs. Joseph Parrillo and Phillip Dellinger, the 5th Edition introduces numerous new authors who lend a fresh perspective and contribute their expertise to that of hundreds of top authorities in the field.                ",https://1lib.in/dl/3707743/952c4e,1754,Elsevier,2019,english,"PDF, 132.04 MB"
"The coaching manual: the definitive guide to the process, principles and skills of personal coaching",Julie Starr,https://covers.zlibcdn2.com/covers100/books/c6/f4/f7/c6f4f752557af577d160220a6546e54c.jpg,"
                    The Coaching Manual is the most current, comprehensive, practical, best-illustrated coaching source I have ever seen.                ",https://1lib.in/dl/541111/98e1ec,257,Financial Times Management,2003,english,"PDF, 1.22 MB"
"Interpreting construction contracts : fundamental principles for contractors, project managers, and contract administrators",H Randolph Thomas,https://covers.zlibcdn2.com/covers100/books/6a/60/6e/6a606e0e6217f9a4045de97410f6bdd8.jpg,"
Every day, engineers and managers are called upon to understand and execute the terms of construction contracts. Often, these professionals have little or no legal training and find themselves relying upon intuition, common sense or hearsay—with possibly unfortunate and expensive results.In Interpreting Construction Contracts, Thomas and Ellis seek to rescue contractors, project managers, and contract administrators struggling to interpret construction contracts. Using rules set forth by the judiciary and drawing upon decades of legal research and practical experience, the authors discuss the most troublesome contract clauses and present rules to construe them so as to avoid disputes that must be resolved in court. Diagrams, case studies, and more than 70 discussion exercises and solutions are provided to reinforce the principles introduced in each chapter.As clear as it is pragmatic, Interpreting Construction Contracts is a welcome teaching resource and an essential reference for engineers and managers working in the construction industry. ",https://1lib.in/dl/2086444/e6b5af,470,"Reston, VA : American Society of Civil Engineers",2007,english,"PDF, 2.73 MB"
Principles of Management    ,Charles W. L. Hill,https://covers.zlibcdn2.com/covers100/books/78/65/05/786505d63de32dbdc7e914d36c7be7c1.jpg,"
                    Charles Hill and Steve McShane, two of the most successful, well-thought of authors, researchers, teachers and consultants, have come together to write Management. This dynamic duo's progressive text engages students with their exceptional storytelling writing style and great examples to see the big picture/ interconnectivity between the four functions of management and prepares them better for their careers ahead.  A unique ""Management Portfolio Project"" rounds out the student experience. Faculty are supported with a truly integrated support package.                ",https://1lib.in/dl/1226188/6195c7,529,McGraw-Hill/Irwin,2006,english,"PDF, 13.81 MB"
"The Dilbert Principle: A Cubicle's-Eye View of Bosses, Meetings, Management Fads & Other Workplace Afflictions",Scott Adams,https://covers.zlibcdn2.com/covers100/books/ce/51/55/ce51552be0b800602ca83b29654b87bc.jpg,Unknown,https://1lib.in/dl/1122404/18ac58,343,Harper-Collins,1996,english,"PDF, 16.28 MB"
The Principles of Scientific Management,Frederick Winslow Taylor,https://covers.zlibcdn2.com/covers100/books/61/aa/b6/61aab606b8fbc3928be5ec6ae5f4d5eb.jpg,"
                    The basis of modern organization and decision theory, this influential essay has motivated administrators and students of managerial technique for more than 80 years. The author discusses eliminating inefficiency through a system based on principles applicable to individual and collective activities. A ground-breaking, and still-inspiring work.                ",https://1lib.in/dl/856617/9d7530,80,Unknown,1997,english,"PDF, 194 KB"
MGMT 9 Principles of Management,Chuck Williams,https://covers.zlibcdn2.com/covers100/books/45/50/62/455062cd98d5a7356bd0d9df38093320.jpg,Unknown,https://1lib.in/dl/2927872/b36346,492,Cengage Learning,2017,english,"PDF, 56.57 MB"
The New Gold Standard: 5 Leadership Principles for Creating a Legendary Customer Experience Courtesy of the Ritz-Carlton Hotel Company  ,Michelli,https://covers.zlibcdn2.com/covers100/books/86/65/65/866565330585b26ceb07f7fd48b189aa.jpg,Unknown,https://1lib.in/dl/1193862/a08214,306,Unknown,Unknown,english,"PDF, 1.39 MB"
Principles of Management,Ellen A. Benowitz,https://covers.zlibcdn2.com/covers100/books/ee/81/60/ee8160525b96f9094035710bbb2d4a68.jpg,"
                    Pithy, strong intro or brush-up for those getting ready to take the step into management or those who simply want to understand basic concepts.  No fooling around with cutesy fables or psycho-babble, just straightforward definitions and explanations.  Good for those being interviewed for lower-level management or graduate programs that look for management material.                ",https://1lib.in/dl/684351/357d8d,241,Hungry Minds,2001,english,"PDF, 946 KB"
AO principles of fracture management,Apivatthakakul,https://covers.zlibcdn2.com/covers100/books/95/64/8f/95648f3883428a0b94bceff921ee0a0e.jpg,Unknown,https://1lib.in/dl/3579911/47ee4f,1000,THIEME,2018,english,"PDF, 174.76 MB"
Principles of Supply Chain Management,Chen,https://covers.zlibcdn2.com/covers100/books/87/42/d1/8742d1a568e3c22719800e1b38694d26.jpg,Unknown,https://1lib.in/dl/2533413/d41d1a,656,CRC Press,2014,english,"PDF, 4.08 MB"
Principles of Corporate Finance Law,Eilis Ferran,https://covers.zlibcdn2.com/covers100/books/23/f5/f7/23f5f719c596ccb6152324c490d13fb3.jpg,"
                    Corporate finance theory seeks to understand how incorporated firms address the financial constraints that affect their investment decisions. This is achieved by using varied financial instruments that give holders different claims on the firm's assets. Recent scholarship in this area explores precisely how legal mechanisms affect corporate finance and the development of financial markets. The legal environment is crucially important in explaining the choices that companies make about their capital structure.This book combines company law, capital market regulation and commercial law to give readers a detailed understanding of the legal and regulatory issues relating to corporate financial transactions. Informed by insights from the theoretical and empirical work of financial economists, the book examines, from a legal perspective, key elements of corporate financing structures and capital markets in the UK. The authors' practical experience of transactions and regulatory issues ensures that thorough scholarly inquiry and critical reflection are complemented by an assured understanding of the interface between legal principles and rules as they are documented and in their actual operation.                ",https://1lib.in/dl/2342808/24f908,477,Oxford University Press,2014,english,"EPUB, 1.40 MB"
