title,author,image,desc,download_link,pages,publisher,year,language,file
Control Systems Engineering,Norman S. Nise,https://covers.zlibcdn2.com/covers100/books/d8/9f/fd/d89ffd2789223fd1b3d1811615d1b3ba.jpg,"
Control Systems Engineering, 7th Edition has become the top selling text for this course. It takes a practical approach, presenting clear and complete explanations. Real world examples demonstrate the analysis and design process, while helpful skill assessment exercises, numerous in-chapter examples, review  questions and problems reinforce key concepts. A new progressive problem, a solar energy  parabolic trough collector, is featured at the end of each chapter. Ten new simulated control lab experiments now complement the online resources that accompany the text. This edition also includes  Hardware Interface Laboratory experiments for use on the MyDAQ platform from National Instruments. A tutorial for MyDAQ is included as Appendix D.  ",https://1lib.in/dl/2648589/e98168,944,Wiley,2015,english,"PDF, 37.95 MB"
Design of Embedded Robust Control Systems Using MATLAB®/Simulink®,Petko Hristov Petkov,https://covers.zlibcdn2.com/covers100/books/5f/4a/d0/5f4ad0a074ee211b356373e765a2c8ba.jpg,"
                    This book explores the implementation of MATLAB(R) and Simulink(R) in the development of embedded robust control systems. Robust control theory allows for changes in a system whilst maintaining stability and performance. Applications of this technique are very important for dependable embedded systems, making technologies such as drones and other autonomous systems with sophisticated embedded controllers and systems relatively common-place.Three extended case studies are developed in depth: embedded control of a tank physical model; robust control of a miniature helicopter; and robust control of two-wheeled robots. These are taken from the area of motion control but the book may be also used by designers in other areas.Some knowledge of linear control theory is assumed and experience of C programming is desirable but to make the book accessible to engineers new to the field and to students, the authors avoid complicated mathematical proofs and overwhelming computer architecture technical details. All programs used in the examples and case studies will be freely downloadable to help with the assimilation of the book contents.This book is essential reading for engineers, developers, designers, industrial practitioners, scientists, and researchers in Control, Automation, Robotics, Mechatronics, Mechanical Engineering, Computing, and Electronics (with a focus on robust control systems and the design, modelling and implementation of embedded systems).                ",https://1lib.in/dl/3614456/c1f56c,Unknown,Institution of Engineering & Technology,2018,english,"PDF, 48.98 MB"
"Linear Control System Analysis and Design with MATLAB , Sixth Edition (Automation and Control Engineering, Book 53)",Houpis C.H. and Sheldon S.N.,https://covers.zlibcdn2.com/covers100/books/42/f3/7e/42f37ee78dc5e5466ac1127501376af4.jpg,"
                    Constantine H. Houpis and Stuart N. Sheldon. Linear Control System Analysis and Design with MATLAB®, Sixth Edition (Automation and Control Engineering, Book 53). - CRC Press, 2013. - 729p.Thoroughly classroom-tested and proven to be a valuable self-study companion, Linear Control System Analysis and Design: Sixth Edition provides an intensive overview of modern control theory and conventional control system design using in-depth explanations, diagrams, calculations, and tables. Keeping mathematics to a minimum, the book is designed with the undergraduate in mind, first building a foundation, then bridging the gap between control theory and its real-world application. Computer-aided design accuracy checks (CADAC) are used throughout the text to enhance computer literacy. Each CADAC uses fundamental concepts to ensure the viability of a computer solution. Completely updated and packed with student-friendly features, the sixth edition presents a range of updated examples using MATLAB®, as well as an appendix listing MATLAB functions for optimizing control system analysis and design. Over 75 percent of the problems presented in the previous edition have been revised or replaced.                ",https://1lib.in/dl/3014850/500879,Unknown,Unknown,Unknown,english,"PDF, 16.72 MB"
Automatic Control Systems,Farid Golnaraghi,https://covers.zlibcdn2.com/covers100/books/3a/77/27/3a772763652d32cd43eaab2d211bbcba.jpg,"
                    Automatic Control Systems provides engineers with a fresh new controls book that places special emphasis on mechatronics. It follows a revolutionary approach by actually including a physical lab. In addition, readers will find authoritative coverage of modern design tools and examples. Current mechatronics applications build motivation to learn the material. Extensive use of virtual lab software is also integrated throughout the chapters. Engineers will gain a strong understand of control systems with the help of modern examples and exercises.                ",https://1lib.in/dl/807767/27128f,944,Wiley,2009,english,"PDF, 111.59 MB"
Modern Control Systems (12th Edition),Richard C. Dorf,https://covers.zlibcdn2.com/covers100/books/31/2e/70/312e70e994b61a1ac5c8f38de5c6c6d9.jpg,Unknown,https://1lib.in/dl/976405/9c3db1,1104,Unknown,2010,english,"PDF, 132.72 MB"
Missile Guidance and Control Systems,George M. Siouris,https://covers.zlibcdn2.com/covers100/books/85/a0/69/85a0694e0121c3860aadfd559a56b41b.jpg,"
                    Airborne Vehicle Guidance and Control Systems is a broad and wide-angled engineering and technological area for research, and continues to be important not only in military defense systems but also in industrial process control and in commercial transportation networks such as various Global Positioning Systems (GPS). The book fills a long-standing gap in the literature. The author is retired from the Air Force Institute and received the Air Force's Outstanding Civilian Career Service Award.                ",https://1lib.in/dl/542447/c6746d,681,Springer,2004,english,"PDF, 8.38 MB"
"Control Systems Engineering, 6th Edition",Norman S. Nise,https://covers.zlibcdn2.com/covers100/books/d3/10/61/d310611960b1cfb274642a51b5705f26.jpg,"
                    Highly regarded for its accessible writing and practical case studies, Control Systems Engineering is the most widely adopted textbook for this core course in Mechanical and Electrical engineering programs. This new sixth edition has been revised and updated with 20% new problems and greater emphasis on computer-aided design.Close the loop between your lectures and the lab!Integrated throughout the Nise text are 10 virtual experiments, which enable students to implement the design-simulate-prototype workflow of practicing engineers. Powered by LabVIEW software and simulations of Quanser’s lab plants, the virtual labs enable students to apply concepts to virtual systems, implement control solutions and evaluate their results. The virtual labs deepen the homework learning experience and prepare students to make more effective use of their time in the lab.  Empower your students to take control of their learning with virtual labs accessible anywhere internet is available!Visit www.quansercontrollabs.com for additional information related to Quanser.                ",https://1lib.in/dl/1240509/670a7b,1005,John Wiley,2010,english,"PDF, 11.40 MB"
Nonlinear Systems (3rd Edition)  ,Hassan K. Khalil,https://covers.zlibcdn2.com/covers100/books/ec/a7/01/eca701f93d20801a4f6573b939d18cbd.jpg,"
                    This book is written is such a way that the level of mathematical sophistication builds up from chapter to chapter. It has been reorganized into four parts: basic analysis, analysis of feedback systems, advanced analysis, and nonlinear feedback control.  Updated content includes subjects which have proven useful in nonlinear control design in recent years—new in the 3rd edition are: expanded treatment of passivity and passivity-based control; integral control, high-gain feedback, recursive methods, optimal stabilizing control, control Lyapunov functions, and observers.  For use as a self-study or reference guide by engineers and applied mathematicians.                ",https://1lib.in/dl/1219263/1d66e1,766,Prentice Hall,2001,english,"PDF, 33.94 MB"
Nonlinear Control Systems Using MATLAB®,Mourad Boufadene,https://covers.zlibcdn2.com/covers100/books/01/74/7d/01747d96a3a90a58daf9cd29c05f14f0.jpg,"
                    The development of computer software for nonlinear control systems has provided many benefits for teaching, research, and the development of control systems design. MATLAB is considered the dominant software platforms for linear and nonlinear control systems analysis.This book provides an easy way to learn nonlinear control systems such as feedback linearization technique and sliding mode control(Structure Variable Control)which are one of the most used techniques in nonlinear control dynamical systems. Teachers, students and researchers can all benefit from such nonlinear controllers, especially for more complicated systems such as induction motor, satellite, and vehicles dynamical models. This book is an excellent resource for learning the principle of feedback linearization and sliding mode techniques in an easy and simple way:Provides a brief description of the feedback linearization and slidingmode control strategiesIncludes a simple method on how to determine the right and appropriate controller (P-PI-PID) for feedback linearization control strategyA Symbolic MATLAB Based function for finding the feedback linearization and sliding mode controllers are developed and tested using several examples.A simple method for finding the approximate sliding mode controller parameters is introducedWhere the program used to construct the nonlinear controller uses symbolic computations, the user should provide the program with the necessary functions f(x), g(x) and h(x) using the symbolic library.                ",https://1lib.in/dl/3690468/c4faf4,Unknown,CRC Press,2018,english,"PDF, 2.03 MB"
"Instructor's Solutions Manual for Modern Control Systems, 12th Edition",Richard C. Dorf,https://covers.zlibcdn2.com/covers100/books/81/4f/49/814f498d384a3fc0b40f96fe5e213216.jpg,Unknown,https://1lib.in/dl/829903/bc9430,754,Unknown,Unknown,english,"PDF, 4.90 MB"
